warehouse_id,date,inbound_volume,outbound_volume,throughput,avg_processing_time_minutes,delays_count,efficiency_score,staff_count,overtime_hours,error_rate,returns_received
WH-11,2025-05-06,219,404,404,35.22,18,83.21,52,93.1,2.51,16
WH-01,2025-08-23,354,191,191,10.97,16,86.38,49,94.2,4.36,40
WH-09,2026-03-21,134,474,474,38.06,12,95.16,48,46.9,1.61,28
WH-07,2024-12-21,127,404,404,40.9,11,92.21,19,19.2,3.74,17
WH-19,2025-08-27,172,599,599,19.56,4,76.95,35,39.2,2.9,0
WH-11,2026-02-06,163,724,724,15.82,13,89.8,46,8.5,3.94,32
WH-06,2026-03-28,228,115,115,30.31,10,78.11,86,91.9,3.93,25
WH-05,2026-04-02,375,400,400,36.51,4,,20,55.7,0.77,41
WH-19,2025-02-05,110,642,642,41.79,0,83.21,15,35.0,4.03,23
WH-09,2024-05-16,378,733,733,33.15,16,82.34,48,47.5,4.2,29
WH-15,2025-12-09,221,506,506,15.52,19,81.51,11,10.2,4.46,15
WH-14,2024-12-12,254,551,551,42.45,20,97.44,79,51.2,2.5,21
WH-20,2025-04-10,250,510,510,19.67,16,73.12,17,9.4,2.81,20
WH-05,2026-01-31,388,467,467,42.2,7,,28,29.2,3.19,48
WH-06,2025-01-16,327,447,447,35.65,12,72.74,85,66.6,2.67,50
WH-18,2025-03-09,127,278,278,27.53,1,79.78,52,97.7,0.86,48
WH-08,2026-01-18,176,137,137,10.78,12,92.98,55,73.3,2.21,47
WH-17,2024-06-30,263,417,417,26.69,2,70.35,87,71.2,0.07,0
WH-04,2026-01-01,76,296,296,20.43,6,83.41,48,74.3,4.18,18
WH-06,2025-05-13,193,301,301,24.81,12,81.25,36,67.4,2.2,16
WH-01,2026-01-16,89,416,416,41.11,11,78.11,58,78.4,2.47,6
WH-16,2025-11-11,96,443,443,10.59,19,91.7,22,22.0,4.89,35
WH-15,2024-06-05,224,671,671,19.01,18,77.67,70,25.0,3.74,14
WH-18,2026-02-24,152,788,788,15.16,4,76.18,21,6.9,3.36,7
WH-10,2025-03-03,171,711,711,22.51,10,83.16,96,14.0,3.87,22
WH-15,2025-12-29,227,329,329,18.41,10,,74,79.0,2.98,43
WH-04,2025-02-22,261,522,522,22.32,7,70.78,67,36.6,3.73,36
WH-13,2024-05-06,80,564,564,22.78,8,77.88,82,31.6,4.29,28
WH-08,2026-01-27,270,695,695,26.11,13,87.36,76,0.9,3.89,45
WH-01,2024-07-24,353,620,620,30.84,20,74.88,78,40.1,4.24,4
WH-05,2026-04-04,91,266,266,40.96,3,94.88,30,70.6,2.07,21
WH-16,2024-11-30,156,470,470,36.59,14,83.38,38,58.0,2.62,40
WH-03,2025-11-03,235,681,681,18.9,9,86.56,55,13.8,0.4,31
WH-04,2025-04-02,280,125,125,12.02,5,72.52,30,40.7,1.2,36
WH-13,2025-02-13,73,684,684,22.64,13,94.98,45,31.8,0.25,1
WH-13,2025-05-11,62,587,587,32.24,1,91.77,68,49.9,3.14,29
WH-09,2025-08-20,224,133,133,10.31,1,89.18,31,66.4,1.29,1
WH-01,2024-10-20,58,304,304,37.99,2,80.26,44,79.1,2.53,45
WH-02,2025-07-15,281,734,734,13.83,6,94.87,95,81.3,4.67,48
WH-10,2025-06-14,301,276,276,17.5,3,94.68,59,87.0,4.55,49
WH-05,2024-11-09,169,678,678,10.99,13,82.55,36,60.6,0.34,12
WH-07,2024-06-28,220,363,363,42.63,14,79.44,100,76.7,2.86,30
WH-18,2025-01-07,162,415,415,13.54,17,71.06,26,21.8,1.2,43
WH-11,2024-04-17,141,655,655,29.08,9,84.38,19,78.9,0.37,36
WH-11,2024-11-19,258,793,793,23.34,14,75.21,61,70.4,3.1,35
WH-06,2025-01-08,235,426,426,39.0,20,,99,14.9,1.18,22
WH-01,2025-04-26,78,515,515,28.81,6,95.42,83,15.0,0.55,48
WH-19,2025-10-01,238,327,327,22.24,12,74.11,59,99.7,4.73,11
WH-12,2024-10-28,352,208,208,31.21,1,78.24,56,19.7,4.62,27
WH-13,2026-01-20,144,537,537,15.18,4,75.9,18,93.9,4.88,15
WH-04,2026-02-14,247,713,713,39.44,0,95.07,48,60.7,1.8,26
WH-07,2024-10-04,103,262,262,17.44,17,88.02,96,55.5,2.32,33
WH-16,2024-05-30,80,610,610,30.05,13,73.95,74,13.4,0.21,46
WH-09,2026-01-13,53,433,433,17.36,1,90.06,40,43.2,4.31,9
WH-20,2024-10-13,117,445,445,17.89,5,89.74,16,29.2,4.25,34
WH-07,2025-08-14,397,692,3460,24.25,12,78.3,36,48.0,2.78,5
WH-09,2026-02-18,226,331,331,11.47,9,77.28,93,64.1,3.34,4
WH-15,2024-05-25,137,395,395,25.65,16,75.49,44,38.1,4.33,4
WH-02,2026-01-22,285,714,714,41.32,6,77.6,11,95.3,2.69,35
WH-12,2025-10-26,273,396,396,22.14,20,88.16,14,42.7,3.1,24
WH-16,2024-05-12,173,306,306,24.9,11,,98,61.9,0.44,1
WH-07,2025-12-13,312,639,639,28.33,14,83.19,73,29.4,4.88,35
WH-19,2025-01-09,58,723,723,31.73,11,80.34,22,93.1,3.12,37
WH-19,2024-12-11,195,789,789,28.43,14,80.79,100,50.4,4.93,3
WH-01,2025-02-08,98,322,322,39.02,12,94.76,85,58.4,1.34,26
WH-05,2024-09-14,80,518,518,20.96,16,92.84,36,62.3,0.86,22
WH-12,2024-05-20,137,694,694,24.42,18,92.8,78,37.5,3.12,20
WH-19,2026-02-18,235,597,597,36.52,10,77.72,76,54.3,0.97,1
WH-14,2024-10-28,297,645,645,13.8,3,74.64,12,84.8,1.45,20
WH-15,2024-07-06,148,531,531,26.19,4,,48,42.8,4.26,11
WH-15,2026-02-20,329,396,396,24.83,4,79.07,84,32.1,2.58,35
WH-09,2025-10-31,120,195,195,22.93,17,91.22,50,21.9,2.56,2
WH-20,2025-02-15,340,752,752,29.74,14,92.72,74,61.2,0.47,22
WH-17,2024-08-11,162,642,642,22.44,20,72.4,51,75.5,2.8,8
WH-20,2025-01-17,267,757,757,44.57,16,84.9,13,85.5,0.55,34
WH-03,2025-07-16,189,255,255,41.99,19,85.32,47,87.1,3.64,4
WH-02,2025-05-29,68,137,137,28.96,4,74.42,66,55.9,0.13,33
WH-07,2025-02-03,242,604,604,32.89,16,96.48,40,3.0,3.4,32
WH-03,2024-06-25,357,371,371,17.73,15,93.38,59,4.9,4.66,47
WH-05,2024-11-29,213,775,775,38.3,1,77.73,62,95.0,3.43,19
WH-18,2024-08-31,50,700,700,18.45,15,87.45,38,79.3,2.39,30
WH-05,2025-07-04,278,423,423,39.66,5,94.38,26,13.2,2.37,5
WH-16,2024-08-09,54,247,247,10.14,10,97.03,50,72.1,4.05,15
WH-11,2024-05-23,106,482,482,30.72,18,88.71,20,62.2,0.12,41
WH-09,2025-09-24,234,581,581,24.38,5,74.72,56,34.8,0.99,48
WH-04,2024-12-26,117,204,204,18.41,4,81.58,88,81.9,0.91,35
WH-10,2024-10-24,353,293,1465,11.57,11,70.29,16,12.2,1.75,21
WH-03,2024-04-14,356,406,406,20.62,15,91.99,43,81.2,1.78,3
WH-08,2024-11-16,395,284,284,17.65,10,91.33,56,91.2,3.94,40
WH-11,2025-03-08,281,483,2415,44.65,7,,35,6.6,0.91,45
WH-13,2025-11-29,365,655,655,40.26,6,80.32,14,69.3,2.91,29
WH-08,2025-08-29,247,357,357,21.52,0,88.07,98,43.2,1.76,25
WH-19,2025-01-19,184,362,362,32.78,10,93.62,19,24.0,4.22,30
WH-06,2024-09-23,259,396,396,21.73,5,77.05,26,37.7,5.0,8
WH-14,2026-03-14,228,558,558,33.32,6,85.89,91,71.4,2.83,49
WH-19,2025-11-09,325,687,687,19.12,18,93.91,61,5.1,0.51,28
WH-09,2024-11-27,167,416,416,15.06,6,85.17,78,53.0,2.53,42
WH-03,2025-01-10,135,410,410,30.67,12,93.79,89,33.2,4.33,24
WH-09,2024-12-10,329,656,656,16.46,18,76.45,59,18.1,4.35,38
WH-12,2024-08-31,400,643,643,14.26,10,75.49,65,37.3,3.46,25
WH-10,2024-10-04,342,311,311,38.75,7,72.37,47,69.3,4.71,21
WH-01,2026-01-10,129,110,110,36.51,3,94.49,81,89.6,4.74,19
WH-17,2024-07-30,251,109,109,30.26,13,,90,88.5,4.84,9
WH-14,2025-07-21,258,754,754,20.69,3,,62,39.9,0.79,50
WH-16,2025-06-19,173,436,436,22.84,19,97.74,20,12.5,3.27,50
WH-02,2024-07-24,227,288,288,16.29,3,82.17,88,31.1,4.32,42
WH-14,2025-03-04,62,582,582,39.66,12,84.53,21,57.9,0.35,30
WH-03,2024-06-29,298,461,461,20.51,19,,22,76.1,2.18,44
WH-02,2025-12-04,233,263,263,43.73,16,,65,97.0,4.71,17
WH-14,2025-04-22,79,607,607,39.9,17,84.91,42,26.3,2.91,7
WH-02,2024-11-10,157,638,638,39.69,10,81.21,16,36.0,3.88,23
WH-13,2025-01-03,330,741,741,13.63,8,96.56,10,63.2,0.4,20
WH-14,2025-08-21,276,663,663,29.52,7,92.74,71,72.8,3.87,30
WH-06,2025-04-20,374,428,428,38.63,18,82.79,67,24.5,4.97,8
WH-07,2026-02-28,224,338,338,21.51,0,74.28,98,54.7,3.08,38
WH-15,2024-07-18,189,725,725,16.85,4,81.89,88,50.1,0.5,48
WH-04,2025-10-12,155,437,437,15.54,1,,28,50.6,0.71,10
WH-18,2024-09-06,228,323,323,30.84,1,77.53,59,7.1,4.63,17
WH-13,2026-04-09,132,715,715,43.2,18,80.95,81,51.8,1.27,12
WH-01,2025-05-13,382,419,419,44.93,18,79.96,99,20.7,2.33,24
WH-10,2026-03-01,260,157,157,27.04,17,,42,68.6,4.47,46
WH-12,2024-05-02,230,572,572,32.21,3,,30,44.3,0.78,34
WH-13,2024-11-23,350,727,727,25.37,6,81.23,15,25.0,4.01,5
WH-02,2025-05-31,368,469,469,23.31,20,95.03,80,68.8,4.25,13
WH-02,2024-07-28,291,321,321,42.99,7,82.5,38,85.3,2.0,38
WH-10,2025-03-17,103,289,289,36.14,8,77.84,99,49.2,2.59,40
WH-17,2025-04-28,212,401,401,33.56,16,87.1,43,61.7,3.84,35
WH-18,2025-09-13,191,297,297,16.83,11,70.21,81,10.7,2.96,16
WH-06,2025-02-20,338,492,2460,20.48,6,94.22,20,7.0,0.29,31
WH-17,2024-04-25,120,678,678,23.54,16,83.4,43,2.4,2.81,14
WH-15,2025-07-17,94,550,550,12.53,20,89.5,33,25.5,2.14,29
WH-02,2025-05-28,170,327,327,31.86,11,73.3,98,46.3,3.05,39
WH-15,2025-10-18,112,450,450,37.05,18,96.08,10,8.0,4.72,14
WH-19,2025-10-22,247,112,112,15.32,18,91.77,60,92.6,0.4,33
WH-20,2024-10-08,167,352,352,21.44,4,71.39,89,59.5,2.85,1
WH-20,2025-08-27,155,415,415,30.82,20,79.72,52,27.0,3.11,33
WH-17,2024-11-10,360,368,368,15.83,4,86.45,72,94.7,3.35,21
WH-18,2026-03-19,113,235,235,37.78,19,74.42,10,11.4,4.06,33
WH-07,2025-06-27,263,242,242,10.93,11,89.15,26,2.3,3.52,47
WH-20,2025-03-13,150,217,217,35.48,7,91.01,20,29.3,0.94,41
WH-09,2025-12-13,191,735,735,29.93,14,70.12,20,69.3,4.47,24
WH-05,2025-11-24,129,646,646,34.29,16,97.23,29,64.7,4.67,35
WH-12,2024-10-02,152,554,554,26.1,8,77.32,19,93.6,3.04,46
WH-04,2024-12-25,383,724,724,26.93,19,78.1,61,44.9,3.42,32
WH-15,2024-10-15,167,212,212,16.38,16,72.24,99,17.7,0.03,35
WH-18,2026-03-09,98,597,597,37.87,11,77.28,13,30.6,4.64,5
WH-04,2024-05-28,397,695,695,40.48,15,74.91,32,41.0,2.47,24
WH-19,2025-10-05,123,725,725,39.05,18,81.93,40,99.0,3.83,7
WH-12,2026-01-05,225,745,745,10.82,4,86.33,26,32.2,1.74,24
WH-09,2025-07-10,279,488,488,18.98,9,83.98,77,56.1,4.32,40
WH-15,2024-12-21,274,214,214,35.19,4,96.12,32,54.5,1.49,45
WH-08,2025-06-13,230,521,521,40.39,7,74.3,17,82.5,0.25,41
WH-19,2024-09-30,389,463,463,31.49,0,81.57,78,39.5,4.89,7
WH-01,2026-02-12,311,451,451,12.67,16,89.64,25,56.7,2.76,33
WH-15,2024-11-21,367,447,447,10.48,3,79.92,43,2.7,4.16,2
WH-04,2024-12-26,258,270,270,21.59,2,93.47,100,38.9,0.5,19
WH-02,2024-09-04,152,693,693,27.8,18,87.55,59,42.5,0.33,40
WH-13,2024-05-28,243,264,264,42.83,14,88.61,77,72.1,3.47,11
WH-03,2025-09-06,101,506,506,31.39,19,87.69,28,56.1,1.27,44
WH-14,2024-10-21,283,359,359,37.74,8,72.88,88,64.0,1.61,49
WH-07,2026-02-21,107,727,727,17.35,6,74.99,76,39.7,4.4,43
WH-15,2025-05-04,150,466,466,18.0,1,90.94,65,17.4,2.87,24
WH-07,2026-02-16,309,305,305,19.85,7,83.22,54,91.1,4.89,44
WH-14,2024-10-11,140,427,427,37.9,12,91.39,47,56.9,2.63,23
WH-13,2025-11-26,348,523,523,30.43,16,87.38,49,5.9,2.32,7
WH-03,2025-12-10,384,161,161,16.83,20,,79,10.3,0.11,30
WH-01,2024-07-07,398,367,367,34.65,9,92.2,76,15.1,1.53,18
WH-16,2025-07-13,166,446,446,11.31,3,79.77,62,81.5,2.08,27
WH-04,2026-04-10,324,661,661,17.12,1,95.62,38,40.2,3.38,1
WH-20,2024-09-12,272,472,472,44.26,11,,87,78.8,3.26,13
WH-05,2026-03-22,397,496,496,28.84,17,78.57,95,12.5,2.05,39
WH-12,2026-02-12,140,705,705,41.05,7,82.69,39,13.3,4.68,42
WH-01,2025-10-31,53,134,134,43.32,13,92.12,26,67.5,4.72,21
WH-12,2025-10-30,394,380,380,31.95,17,89.65,86,21.2,2.59,40
WH-10,2025-10-21,186,200,200,42.69,20,76.39,46,23.3,3.48,29
WH-09,2024-05-15,381,541,541,30.49,5,83.09,78,0.8,1.83,16
WH-05,2025-03-12,165,483,483,11.2,7,80.02,27,42.6,1.66,0
WH-18,2024-05-29,123,519,519,30.69,3,97.92,23,12.2,3.66,34
WH-13,2024-08-21,103,389,389,19.24,3,89.84,58,10.1,2.52,8
WH-20,2025-07-27,108,155,155,38.16,7,72.9,22,56.4,1.41,14
WH-16,2024-06-08,293,174,174,42.83,10,88.54,71,96.6,2.03,12
WH-06,2025-07-01,311,629,629,38.09,14,87.5,73,60.0,3.3,30
WH-09,2025-06-21,279,379,379,25.97,12,97.63,91,51.4,0.81,6
WH-20,2024-07-23,169,154,154,40.04,9,94.77,27,26.8,1.91,45
WH-13,2024-05-06,282,662,662,29.81,4,83.59,99,39.2,0.23,6
WH-19,2025-09-21,195,636,636,31.16,10,77.28,52,68.3,3.87,15
WH-16,2026-01-09,346,730,730,10.49,19,72.32,52,82.8,3.45,31
WH-19,2025-08-19,207,155,155,42.85,10,78.14,86,93.5,2.54,43
WH-20,2025-09-04,262,671,671,26.2,14,89.63,45,75.9,4.52,12
WH-02,2025-11-04,277,559,559,37.93,6,89.2,26,45.8,0.97,2
WH-12,2026-03-24,358,547,547,17.24,14,91.96,72,66.7,0.41,23
WH-04,2025-01-10,318,177,177,44.65,20,92.98,71,1.8,1.06,50
WH-15,2024-04-20,354,623,623,40.79,2,90.95,38,43.6,1.54,37
WH-17,2024-12-08,277,547,547,12.74,1,79.11,96,86.1,2.99,45
WH-12,2025-10-26,229,725,725,12.33,13,74.8,83,7.5,3.98,15
WH-19,2025-01-08,106,766,766,36.94,15,95.13,60,73.5,4.1,37
WH-09,2026-01-08,338,675,675,30.48,7,,97,86.9,0.35,44
WH-12,2024-05-10,152,495,495,39.96,7,86.15,98,66.5,4.57,32
WH-16,2024-12-13,353,221,221,26.47,4,92.86,25,43.3,4.64,2
WH-18,2025-10-30,161,610,610,21.88,15,96.09,50,13.7,0.11,1
WH-04,2025-06-22,394,597,597,31.45,14,78.94,56,27.9,1.45,10
WH-19,2025-11-21,154,629,3145,31.92,20,71.12,86,27.1,4.23,42
WH-10,2024-10-29,66,680,680,17.49,4,79.31,53,86.8,3.01,31
WH-06,2024-12-10,160,572,572,21.1,15,75.08,64,63.7,2.37,47
WH-18,2025-08-12,319,750,750,25.18,13,96.8,20,35.6,2.91,35
WH-10,2024-10-07,257,546,546,15.58,15,79.27,40,13.2,0.59,2
WH-20,2024-05-13,150,338,338,34.97,6,87.15,91,65.6,1.74,31
WH-11,2024-05-05,194,215,215,12.87,20,94.77,91,68.7,2.39,15
WH-18,2025-11-12,273,440,440,11.54,11,80.04,42,38.0,4.14,11
WH-13,2024-07-12,381,529,529,19.27,9,81.58,89,3.3,2.53,23
WH-05,2026-01-12,225,362,362,10.08,15,96.96,31,67.6,0.05,50
WH-16,2025-03-17,349,118,118,43.88,10,83.81,55,84.0,4.29,33
WH-20,2024-10-22,386,110,110,22.66,3,70.48,20,44.8,4.8,21
WH-12,2025-04-19,336,538,538,32.09,5,97.34,57,92.1,1.93,6
WH-16,2025-03-04,258,263,263,42.05,13,80.38,16,17.0,4.71,27
WH-19,2025-07-06,321,549,549,15.28,16,94.18,62,33.4,2.71,20
WH-01,2025-06-30,142,197,197,21.51,2,89.36,61,67.4,0.83,34
WH-01,2024-11-11,176,314,314,34.51,16,93.26,34,78.0,1.7,40
WH-03,2024-09-11,225,613,613,38.84,6,90.46,98,39.8,0.99,0
WH-01,2025-01-31,118,439,439,22.73,3,71.54,14,19.2,1.0,15
WH-19,2024-08-12,384,519,519,17.65,10,87.19,10,22.7,0.24,35
WH-12,2025-01-24,189,196,196,42.37,12,,84,85.4,0.51,50
WH-17,2024-09-03,349,457,457,10.96,12,90.23,35,65.9,1.8,21
WH-01,2025-05-13,265,413,413,33.05,18,90.14,77,29.3,2.23,19
WH-16,2025-10-05,98,138,138,43.97,11,91.7,72,46.5,2.92,30
WH-06,2026-01-10,53,380,380,42.02,2,73.2,60,52.3,0.51,21
WH-03,2025-03-31,185,157,157,10.46,17,70.21,92,82.3,3.89,41
WH-10,2025-10-09,112,223,223,16.21,11,,21,94.1,1.79,47
WH-13,2025-09-03,377,335,335,14.25,15,95.62,25,40.1,0.27,48
WH-17,2025-07-11,287,197,197,17.43,12,73.99,83,52.2,1.96,46
WH-12,2025-04-14,212,467,467,28.08,19,,24,92.3,1.56,49
WH-19,2025-06-12,316,288,288,34.22,3,97.53,19,48.4,4.99,14
WH-15,2024-05-16,82,457,457,36.11,10,78.55,17,18.1,1.91,26
WH-07,2025-04-18,328,579,579,39.14,0,,14,8.1,4.7,24
WH-10,2025-07-11,326,589,589,26.02,8,,43,54.7,4.43,44
WH-13,2026-04-09,352,740,740,33.94,14,77.12,14,75.7,2.42,27
WH-06,2025-05-21,137,308,308,22.92,2,96.66,32,82.3,1.19,25
WH-18,2025-10-26,90,477,477,32.16,20,94.68,89,9.1,0.68,42
WH-17,2026-02-10,396,294,294,44.2,5,72.33,86,2.6,2.47,15
WH-04,2026-01-29,291,607,607,17.4,12,76.48,56,65.4,2.5,33
WH-04,2025-05-29,104,354,354,22.81,17,72.71,31,5.8,1.18,11
WH-05,2026-01-27,266,613,3065,33.57,17,,76,27.9,1.57,43
WH-16,2024-06-12,168,366,366,40.94,5,79.77,96,96.6,4.21,2
WH-15,2024-10-14,125,743,743,26.34,1,,99,92.2,3.46,13
WH-10,2026-01-23,217,580,580,13.67,3,77.8,65,39.9,4.24,39
WH-18,2024-12-19,361,482,482,39.2,19,86.87,39,42.1,1.87,37
WH-19,2024-10-28,337,476,476,36.72,11,78.1,94,97.6,3.92,32
WH-13,2025-06-29,179,542,542,15.37,19,87.16,17,40.8,2.83,29
WH-19,2025-08-16,327,612,612,40.48,13,72.87,97,35.8,2.73,44
WH-02,2024-12-30,80,162,162,23.63,5,82.28,71,31.9,0.14,15
WH-06,2025-03-12,334,407,407,33.48,15,90.25,98,8.2,4.59,21
WH-09,2026-02-11,379,240,240,39.29,11,,83,47.4,4.66,19
WH-07,2026-02-26,246,632,632,25.66,1,97.18,31,75.9,2.67,44
WH-06,2025-08-18,248,561,561,41.81,16,80.35,99,21.1,3.67,21
WH-18,2026-01-24,76,407,407,40.58,18,,20,95.2,0.54,48
WH-19,2024-04-18,256,565,565,30.35,10,93.33,96,36.4,0.29,41
WH-05,2024-07-09,280,243,243,26.87,10,89.54,45,41.6,4.19,40
WH-18,2025-10-01,238,331,331,40.13,10,81.13,37,37.0,4.85,16
WH-18,2026-01-27,240,612,612,37.81,10,81.23,90,21.6,3.39,9
WH-10,2025-08-13,116,454,454,19.59,19,88.27,25,43.5,1.03,33
WH-02,2025-12-09,369,565,565,40.73,20,96.0,31,36.5,3.76,49
WH-11,2025-09-30,131,106,106,21.04,6,79.41,29,82.5,3.11,41
WH-19,2024-12-12,380,570,570,18.47,19,85.99,58,78.5,3.77,5
WH-08,2025-07-01,185,768,768,21.27,4,87.15,48,48.0,0.5,41
WH-15,2025-12-20,303,309,309,20.34,2,94.81,63,31.5,3.45,12
WH-05,2026-01-15,175,333,333,43.47,5,72.74,88,61.7,0.01,42
WH-19,2024-08-12,89,295,295,37.62,18,76.41,76,29.5,2.46,4
WH-03,2026-03-01,89,358,358,16.0,15,93.47,64,50.0,4.16,16
WH-18,2026-02-17,172,777,777,24.41,11,,76,29.7,4.12,19
WH-08,2025-01-03,56,779,779,43.38,18,77.88,11,77.0,3.35,4
WH-20,2025-02-16,372,477,477,42.19,2,90.08,89,28.8,0.65,9
WH-10,2025-04-11,253,134,134,12.67,1,79.1,51,80.5,1.24,10
WH-19,2025-02-27,374,569,569,35.94,1,87.51,28,99.6,0.03,25
WH-16,2025-09-04,327,268,268,43.16,0,72.94,39,88.1,1.27,0
WH-19,2025-10-11,212,250,250,12.35,18,93.96,50,33.3,0.51,48
WH-07,2024-06-23,238,723,723,12.9,9,93.96,69,50.2,1.48,10
WH-18,2025-07-07,165,568,568,20.01,3,79.48,16,10.4,1.7,5
WH-13,2025-06-11,352,587,587,33.19,17,88.12,90,5.6,2.06,30
WH-01,2024-06-04,73,186,186,38.46,20,75.33,16,73.7,4.08,20
WH-06,2024-04-28,224,107,107,10.64,8,74.77,34,34.3,2.02,45
WH-18,2025-05-24,201,621,621,32.33,8,91.47,65,10.1,4.49,49
WH-07,2024-09-30,320,642,642,12.08,5,96.4,46,91.0,4.75,12
WH-13,2025-03-31,289,569,569,19.23,14,,87,47.0,2.83,16
WH-12,2025-02-06,171,552,552,28.42,2,76.05,83,5.6,0.0,24
WH-04,2024-04-17,391,538,538,30.32,14,78.78,94,54.9,2.66,16
WH-13,2025-09-08,291,465,465,36.82,3,,31,91.4,2.55,26
WH-20,2025-11-16,284,476,476,26.23,14,93.64,51,58.7,1.61,45
WH-08,2025-03-11,231,607,607,37.2,9,71.67,86,60.7,0.19,48
WH-12,2024-06-10,301,731,731,40.4,11,,84,65.1,3.38,7
WH-05,2024-09-17,304,412,412,11.93,19,74.42,36,43.3,0.4,18
WH-04,2024-08-14,235,463,463,27.48,16,77.13,34,68.7,3.14,26
WH-14,2024-09-29,335,517,517,20.5,2,71.44,40,33.4,2.8,15
WH-20,2024-12-12,305,513,513,22.3,17,70.94,37,33.4,1.48,20
WH-12,2025-07-14,247,723,723,40.35,11,84.21,87,35.9,0.48,22
WH-09,2025-05-30,176,318,318,28.35,0,75.59,92,62.2,4.61,33
WH-05,2024-04-24,109,684,684,19.53,11,84.77,56,55.6,3.62,43
WH-06,2024-04-14,60,559,559,23.34,11,86.24,31,24.9,4.16,29
WH-19,2025-10-31,192,582,582,25.05,3,97.55,86,89.3,2.6,7
WH-03,2025-06-30,150,664,664,38.44,5,78.95,16,54.5,3.82,31
WH-18,2025-10-25,375,288,288,30.66,8,,85,82.4,1.14,35
WH-03,2025-12-31,238,783,783,31.28,6,73.68,49,38.0,3.73,24
WH-08,2025-12-18,299,674,674,31.43,1,78.36,13,46.4,3.75,41
WH-14,2025-01-09,144,633,633,25.76,14,87.53,45,18.8,2.51,17
WH-18,2025-07-10,374,393,393,10.32,20,80.69,93,79.1,1.33,26
WH-11,2024-08-16,67,793,793,41.02,14,91.26,16,97.3,2.62,26
WH-08,2024-11-04,226,124,124,18.89,7,78.42,38,49.9,2.7,4
