vehicle_id,maintenance_date,maintenance_type,cost,description,mechanic_id,mileage_at_service,next_maintenance_due,service_duration_hours
VEH-058,2024-11-16,inspection,1766.54,Inspection - emergency,MECH-1,71605,2025-10-29,9.9
VEH-165,2025-08-20,oil_change,1315.16,Oil Change - emergency,MECH-8,88031,2026-05-18,15.2
VEH-291,2024-07-11,oil_change,251.39,Oil Change - routine,MECH-18,104555,2024-10-10,23.3
VEH-163,2025-10-10,brake_service,1528.23,Brake Service - emergency,MECH-9,64661,2026-02-12,8.7
VEH-078,2025-10-29,tire_rotation,617.37,Tire Rotation - scheduled,MECH-10,174275,2026-06-17,18.9
VEH-195,2025-10-10,inspection,1643.96,,MECH-20,156289,,20.5
VEH-087,2024-09-08,brake_service,759.15,Brake Service - scheduled,MECH-3,73192,2025-02-28,19.7
VEH-210,2024-10-23,oil_change,270.81,Oil Change - emergency,MECH-8,96818,2024-12-03,12.9
VEH-280,2024-07-22,brake_service,393.49,Brake Service - preventive,MECH-14,69845,2025-05-24,3.7
VEH-143,2024-05-04,general_check,1604.23,General Check - scheduled,MECH-17,75653,2024-07-10,23.2
VEH-088,2025-11-29,brake_service,1398.8,Brake Service - routine,MECH-8,150501,2026-03-21,20.4
VEH-010,2024-05-17,replacement,228.08,Replacement - routine,MECH-10,43412,2024-08-25,4.6
VEH-298,2025-06-26,tire_rotation,874.82,Tire Rotation - preventive,MECH-20,181173,2026-04-21,1.0
VEH-150,2025-06-29,general_check,200.05,General Check - scheduled,MECH-6,129569,2026-06-21,20.3
VEH-027,2025-02-25,oil_change,1765.05,Oil Change - routine,MECH-6,62956,2025-05-25,10.9
VEH-094,2025-09-18,repair,1589.2,Repair - scheduled,MECH-8,121969,2026-06-21,19.4
VEH-261,2026-03-22,brake_service,581.59,Brake Service - preventive,MECH-16,18836,2026-08-04,15.5
VEH-220,2024-05-29,tire_rotation,1445.72,Tire Rotation - scheduled,MECH-1,155209,2025-03-12,10.5
VEH-081,2024-07-24,repair,1525.79,Repair - routine,MECH-20,42451,2024-11-10,15.4
VEH-059,2025-03-15,oil_change,58.24,Oil Change - emergency,MECH-17,22222,,15.0
VEH-013,2024-08-11,tire_rotation,1395.65,,MECH-14,165623,2024-09-24,18.9
VEH-039,2026-02-24,replacement,1537.97,Replacement - scheduled,MECH-10,12986,2026-09-02,24.0
VEH-206,2026-01-08,repair,438.66,,MECH-20,78149,2026-02-08,23.9
VEH-016,2024-06-16,brake_service,852.78,,MECH-8,127595,2025-03-24,9.0
VEH-244,2025-02-12,general_check,1651.87,General Check - emergency,MECH-17,71629,2025-06-17,19.0
VEH-122,2026-01-22,repair,991.94,Repair - scheduled,MECH-14,43697,2026-10-09,17.2
VEH-171,2026-01-13,replacement,1894.37,Replacement - preventive,MECH-10,145848,2026-09-21,3.2
VEH-127,2025-04-19,oil_change,542.29,Oil Change - scheduled,MECH-16,164549,2026-03-05,18.3
VEH-243,2024-07-31,replacement,712.1,Replacement - routine,MECH-16,84146,2025-05-27,20.9
VEH-258,2025-03-23,repair,1191.35,Repair - routine,MECH-20,49294,2025-12-24,21.4
VEH-267,2024-08-30,oil_change,197.91,Oil Change - scheduled,MECH-14,149386,2024-11-06,11.0
VEH-085,2025-01-03,tire_rotation,615.33,Tire Rotation - preventive,MECH-7,178043,2025-12-12,7.0
VEH-084,2025-01-25,tire_rotation,580.43,Tire Rotation - routine,MECH-3,156190,2025-06-28,22.4
VEH-243,2025-08-06,brake_service,1824.27,Brake Service - emergency,MECH-3,113490,2026-03-07,1.9
VEH-140,2025-10-14,replacement,1700.36,Replacement - scheduled,MECH-11,109963,2026-05-24,2.8
VEH-186,2025-05-22,replacement,816.26,Replacement - routine,MECH-19,90904,2025-11-10,7.8
VEH-161,2026-01-23,brake_service,1736.82,Brake Service - scheduled,MECH-3,175307,2026-07-25,16.7
VEH-206,2025-07-24,replacement,504.16,Replacement - scheduled,MECH-5,138583,2026-03-19,19.0
VEH-093,2026-01-15,general_check,937.27,General Check - preventive,MECH-13,118778,2026-11-01,19.9
VEH-241,2025-10-01,brake_service,1335.62,Brake Service - emergency,MECH-11,20125,2026-04-15,11.3
VEH-208,2024-12-13,replacement,426.94,Replacement - preventive,MECH-11,139291,2025-07-12,3.6
VEH-039,2025-12-06,repair,428.0,Repair - preventive,MECH-5,145891,2026-07-21,23.5
VEH-281,2025-12-10,repair,918.9,Repair - scheduled,MECH-2,42578,2026-12-03,11.1
VEH-158,2025-02-08,general_check,256.52,General Check - emergency,MECH-11,139781,2025-08-05,19.7
VEH-099,2024-11-28,general_check,1766.1,,MECH-8,85406,2025-06-01,17.3
VEH-245,2025-04-20,oil_change,1075.31,Oil Change - scheduled,MECH-5,162540,2025-12-11,17.8
VEH-074,2026-03-08,repair,507.95,Repair - scheduled,MECH-13,155366,2026-08-29,22.6
VEH-184,2026-03-15,brake_service,1585.78,Brake Service - emergency,MECH-12,23033,2026-07-03,17.1
VEH-183,2024-09-14,brake_service,158.3,Brake Service - emergency,MECH-15,118889,2025-08-24,19.9
VEH-169,2024-11-16,tire_rotation,195.54,Tire Rotation - emergency,MECH-12,156627,2025-01-26,1.0
VEH-250,2025-07-25,replacement,1014.84,Replacement - routine,MECH-18,119151,2025-12-03,16.3
VEH-159,2025-12-26,replacement,1212.61,Replacement - emergency,MECH-4,171651,2026-03-23,8.6
VEH-144,2025-03-25,general_check,1463.97,General Check - routine,MECH-10,55817,2025-10-20,1.9
VEH-117,2024-10-12,oil_change,1804.27,Oil Change - routine,MECH-4,94014,2025-07-07,10.8
VEH-130,2024-10-20,oil_change,926.49,Oil Change - scheduled,MECH-17,150136,2025-02-01,2.1
VEH-180,2025-05-16,brake_service,207.61,Brake Service - scheduled,MECH-17,68644,2025-09-04,15.5
VEH-184,2026-02-27,oil_change,874.32,Oil Change - routine,MECH-5,177849,2026-05-13,19.4
VEH-151,2024-04-26,replacement,910.77,Replacement - emergency,MECH-19,60244,2024-06-14,11.5
VEH-141,2026-03-06,brake_service,1999.53,Brake Service - scheduled,MECH-7,178367,2026-08-09,3.3
VEH-200,2025-12-04,tire_rotation,1279.39,Tire Rotation - routine,MECH-19,177226,2026-08-16,22.4
VEH-168,2025-08-25,replacement,421.0,Replacement - routine,MECH-1,30934,2026-07-16,13.6
VEH-117,2025-01-22,replacement,772.58,Replacement - scheduled,MECH-12,131127,2025-04-23,17.5
VEH-105,2025-12-02,oil_change,468.39,Oil Change - routine,MECH-14,74151,2026-03-18,15.4
VEH-165,2026-02-07,brake_service,943.7,Brake Service - preventive,MECH-15,54437,2026-10-22,10.7
VEH-226,2025-06-08,repair,1291.32,Repair - scheduled,MECH-16,139165,2025-11-19,23.7
VEH-014,2025-04-08,oil_change,343.51,Oil Change - emergency,MECH-12,34139,2026-01-12,9.5
VEH-136,2024-06-25,oil_change,1581.76,Oil Change - preventive,MECH-20,155909,2025-05-07,7.0
VEH-275,2024-07-18,inspection,246.74,Inspection - routine,MECH-5,38943,2025-01-16,12.9
VEH-164,2024-06-18,replacement,1862.11,Replacement - scheduled,MECH-9,36429,2024-09-22,14.7
VEH-132,2025-06-04,oil_change,1472.03,Oil Change - preventive,MECH-17,77668,2025-10-31,22.6
VEH-177,2024-10-17,oil_change,1359.73,Oil Change - emergency,MECH-19,82383,2025-01-03,14.2
VEH-043,2025-01-10,oil_change,1101.12,Oil Change - preventive,MECH-16,11217,2025-08-12,21.2
VEH-159,2024-06-18,brake_service,915.74,Brake Service - emergency,MECH-16,136391,2025-04-27,21.3
VEH-004,2024-08-12,repair,1345.42,Repair - preventive,MECH-6,41455,2025-01-13,3.2
VEH-070,2025-11-18,oil_change,1215.59,Oil Change - routine,MECH-2,150859,2026-05-29,19.6
VEH-044,2024-09-08,brake_service,680.83,Brake Service - routine,MECH-13,63545,2025-07-31,21.9
VEH-098,2025-03-18,general_check,1667.94,General Check - preventive,MECH-1,57408,,7.5
VEH-016,2025-04-25,general_check,68.94,General Check - routine,MECH-5,182485,2025-11-24,8.9
VEH-274,2025-07-10,repair,1970.51,Repair - scheduled,MECH-13,16529,2025-12-10,8.1
VEH-226,2024-08-04,oil_change,157.4,Oil Change - routine,MECH-2,44372,2025-05-16,10.7
VEH-016,2024-07-19,brake_service,1240.06,Brake Service - scheduled,MECH-18,172261,2024-11-10,18.6
VEH-294,2024-04-16,tire_rotation,708.3,Tire Rotation - preventive,MECH-6,75819,2024-07-08,15.6
VEH-107,2025-04-03,general_check,1597.22,General Check - emergency,MECH-10,197555,2026-01-11,23.2
VEH-137,2025-03-15,general_check,731.4,General Check - scheduled,MECH-18,16761,2025-10-05,14.2
VEH-034,2026-02-21,general_check,678.88,General Check - scheduled,MECH-4,166359,2026-04-20,14.8
VEH-278,2025-03-10,repair,1891.23,Repair - emergency,MECH-15,57584,2025-12-16,19.0
VEH-049,2025-07-26,inspection,987.05,Inspection - emergency,MECH-13,27605,2026-02-16,16.6
VEH-251,2025-02-17,brake_service,692.38,Brake Service - scheduled,MECH-3,192373,2025-09-11,15.1
VEH-079,2025-09-19,repair,248.45,Repair - routine,MECH-3,51257,2026-08-25,1.7
VEH-036,2025-01-09,tire_rotation,1908.12,Tire Rotation - emergency,MECH-15,146740,2025-03-27,1.7
VEH-135,2024-09-01,tire_rotation,578.98,Tire Rotation - emergency,MECH-17,65566,2024-12-06,15.7
VEH-005,2025-07-04,general_check,1551.23,General Check - preventive,MECH-7,120023,2025-09-07,13.9
VEH-280,2024-05-21,repair,528.54,Repair - scheduled,MECH-14,162699,,5.8
VEH-117,2024-04-29,repair,85.54,Repair - scheduled,MECH-18,11494,2024-05-29,9.0
VEH-202,2024-11-24,replacement,1668.4,Replacement - scheduled,MECH-12,13507,2025-03-18,20.9
VEH-118,2024-09-06,general_check,408.38,General Check - preventive,MECH-6,196749,2025-08-28,9.4
VEH-006,2024-09-26,oil_change,669.18,Oil Change - preventive,MECH-1,123239,2024-12-27,19.9
VEH-139,2025-04-27,replacement,440.81,Replacement - emergency,MECH-8,123203,2025-09-20,8.6
VEH-280,2025-10-04,inspection,1669.15,Inspection - preventive,MECH-10,17640,2026-09-25,4.4
VEH-088,2025-07-06,tire_rotation,1356.8,Tire Rotation - emergency,MECH-2,33154,2025-08-05,19.8
VEH-127,2025-06-27,oil_change,1891.37,Oil Change - routine,MECH-12,15979,2025-11-13,14.0
VEH-253,2025-05-14,inspection,1251.39,Inspection - emergency,MECH-20,61933,2025-09-21,1.9
VEH-015,2025-01-23,replacement,518.77,Replacement - preventive,MECH-7,78005,2025-07-14,9.5
VEH-081,2024-10-20,replacement,1391.57,Replacement - routine,MECH-15,105997,2024-11-24,18.8
VEH-272,2025-09-30,tire_rotation,1863.96,,MECH-6,81893,2025-11-19,4.1
VEH-216,2024-10-28,repair,1491.33,Repair - scheduled,MECH-2,70148,2025-06-23,22.0
VEH-164,2024-11-07,repair,538.16,Repair - scheduled,MECH-14,149686,2024-12-12,15.6
VEH-219,2025-02-13,replacement,1744.3,Replacement - scheduled,MECH-2,191386,2026-01-20,9.8
VEH-267,2024-07-29,replacement,1189.17,Replacement - emergency,MECH-19,199717,2025-04-28,1.4
VEH-102,2026-02-09,tire_rotation,1834.87,Tire Rotation - emergency,MECH-11,98545,2026-07-01,20.4
VEH-199,2026-01-25,replacement,713.04,Replacement - preventive,MECH-16,26790,2026-05-24,12.1
VEH-053,2025-10-05,inspection,1802.48,,MECH-11,79920,2026-03-10,3.4
VEH-071,2024-09-11,brake_service,496.58,Brake Service - scheduled,MECH-6,117268,2024-10-20,1.3
VEH-106,2025-02-02,repair,1983.32,Repair - routine,MECH-7,69919,2025-10-15,9.5
VEH-120,2025-07-25,general_check,452.87,General Check - emergency,MECH-8,59706,2026-03-09,21.8
VEH-117,2026-01-23,tire_rotation,1183.98,Tire Rotation - scheduled,MECH-1,175687,2027-01-04,17.2
VEH-249,2024-12-09,brake_service,767.08,Brake Service - scheduled,MECH-16,40966,2025-02-19,13.9
VEH-282,2025-05-24,oil_change,277.49,Oil Change - scheduled,MECH-7,66986,2025-07-10,17.8
VEH-187,2025-09-07,general_check,1212.88,General Check - scheduled,MECH-5,198391,2026-03-16,23.9
VEH-111,2025-07-25,brake_service,107.82,Brake Service - emergency,MECH-14,115387,2026-06-18,4.9
VEH-292,2025-04-18,inspection,1516.91,Inspection - routine,MECH-6,114070,2025-11-10,22.8
VEH-187,2025-01-01,replacement,550.3,Replacement - scheduled,MECH-20,51303,2025-05-04,7.5
VEH-287,2025-07-30,inspection,862.38,Inspection - scheduled,MECH-19,63167,,13.7
VEH-253,2025-08-30,general_check,1003.29,General Check - routine,MECH-16,192844,2026-05-28,10.1
VEH-025,2025-08-24,repair,532.59,Repair - routine,MECH-18,176345,2025-12-22,8.8
VEH-195,2026-02-11,oil_change,1955.39,Oil Change - routine,MECH-17,159942,2026-12-10,2.4
VEH-044,2025-08-22,general_check,1240.3,General Check - routine,MECH-5,102767,2026-05-06,23.8
VEH-250,2025-08-07,oil_change,1783.83,Oil Change - preventive,MECH-2,12990,2026-07-16,23.4
VEH-245,2024-09-07,replacement,246.62,Replacement - routine,MECH-2,35541,2025-02-27,1.2
VEH-049,2024-05-09,replacement,1068.46,Replacement - scheduled,MECH-6,31041,2024-06-23,7.9
VEH-096,2026-02-03,general_check,1216.76,General Check - preventive,MECH-15,94595,2026-04-13,15.7
VEH-143,2025-11-14,general_check,1236.99,General Check - scheduled,MECH-13,133957,2026-11-13,8.2
VEH-202,2024-05-04,tire_rotation,1361.22,Tire Rotation - preventive,MECH-6,59768,2025-01-20,12.9
VEH-178,2025-01-13,inspection,110.12,Inspection - emergency,MECH-20,172734,2025-04-12,1.2
VEH-277,2024-12-15,oil_change,1070.99,Oil Change - preventive,MECH-10,100779,2025-02-13,17.1
VEH-132,2024-10-11,repair,1983.25,Repair - preventive,MECH-6,66700,2024-12-05,20.2
VEH-155,2026-02-21,repair,605.98,Repair - scheduled,MECH-17,23199,2027-01-18,3.2
VEH-128,2025-10-18,inspection,704.23,Inspection - routine,MECH-17,74561,2026-03-23,17.9
VEH-113,2025-10-05,tire_rotation,709.67,Tire Rotation - preventive,MECH-20,63343,2026-05-26,23.9
VEH-109,2024-05-13,repair,1684.97,Repair - preventive,MECH-17,22375,2024-06-14,10.1
VEH-086,2024-04-19,repair,943.88,Repair - preventive,MECH-12,10998,2025-01-14,15.4
VEH-051,2025-01-27,general_check,475.3,General Check - preventive,MECH-19,111054,2025-03-08,14.2
VEH-064,2024-05-10,general_check,487.45,General Check - emergency,MECH-9,27508,2024-10-21,11.7
VEH-045,2025-07-23,general_check,1142.03,General Check - preventive,MECH-13,54045,2025-10-05,16.0
VEH-254,2025-03-20,brake_service,1273.71,Brake Service - routine,MECH-3,165522,2025-08-25,8.3
VEH-043,2024-11-12,replacement,895.65,Replacement - routine,MECH-11,169783,2025-05-04,12.4
VEH-238,2024-06-11,general_check,699.38,General Check - routine,MECH-14,68435,2024-12-12,13.6
VEH-132,2025-04-17,replacement,1735.4,Replacement - preventive,MECH-6,58557,2026-01-27,12.1
VEH-127,2026-04-08,oil_change,1193.77,Oil Change - routine,MECH-4,57620,2026-07-24,2.1
VEH-224,2024-09-07,general_check,1962.73,General Check - preventive,MECH-19,94070,,21.3
VEH-063,2024-10-26,inspection,1102.65,Inspection - emergency,MECH-8,138241,2025-10-04,10.4
VEH-247,2024-11-13,tire_rotation,745.89,Tire Rotation - preventive,MECH-14,44028,2025-03-31,23.1
VEH-230,2025-12-04,general_check,1225.68,General Check - routine,MECH-12,20669,2026-11-22,13.7
VEH-224,2024-12-26,oil_change,1068.39,Oil Change - emergency,MECH-12,195113,2025-10-18,1.9
VEH-094,2025-05-18,inspection,983.53,Inspection - routine,MECH-6,198149,2026-02-06,23.5
VEH-191,2024-11-16,repair,884.1,Repair - preventive,MECH-8,76406,2025-06-08,20.8
VEH-214,2025-02-27,inspection,71.31,Inspection - preventive,MECH-18,107019,2025-10-18,2.2
VEH-225,2024-05-04,replacement,1308.51,Replacement - routine,MECH-14,168036,,11.2
VEH-250,2024-05-17,repair,1165.88,Repair - scheduled,MECH-4,135025,2025-05-15,19.9
VEH-092,2025-11-19,repair,1525.88,Repair - scheduled,MECH-18,172198,2026-01-05,23.6
VEH-010,2024-09-27,oil_change,1243.9,,MECH-13,146070,2025-03-16,4.2
VEH-279,2026-04-04,tire_rotation,1434.24,Tire Rotation - routine,MECH-13,121715,2027-02-16,15.8
VEH-216,2024-06-29,oil_change,1146.6,Oil Change - scheduled,MECH-6,147333,2025-05-13,18.6
VEH-036,2025-06-13,inspection,483.0,Inspection - scheduled,MECH-4,152831,2025-08-28,1.3
VEH-208,2025-01-08,repair,1553.65,Repair - scheduled,MECH-19,59843,2025-10-16,16.9
VEH-238,2024-04-28,oil_change,1921.87,Oil Change - emergency,MECH-8,40279,2025-01-10,5.2
VEH-109,2025-12-09,replacement,1993.59,Replacement - routine,MECH-5,60949,2026-07-14,11.6
VEH-236,2025-03-23,oil_change,785.96,Oil Change - routine,MECH-12,63754,2026-02-16,2.3
VEH-082,2025-08-08,inspection,1977.1,Inspection - scheduled,MECH-11,99710,2026-02-04,21.3
VEH-188,2025-07-13,brake_service,898.14,Brake Service - routine,MECH-6,129432,2026-05-17,6.9
VEH-132,2025-02-19,tire_rotation,677.42,Tire Rotation - emergency,MECH-15,44421,2025-10-18,19.9
VEH-070,2025-05-31,replacement,935.74,Replacement - preventive,MECH-20,142196,2026-04-23,3.5
VEH-104,2025-05-25,general_check,770.63,General Check - emergency,MECH-2,108568,2026-02-22,23.4
VEH-222,2024-09-20,inspection,1284.52,Inspection - routine,MECH-8,66027,2025-05-10,16.1
VEH-113,2024-11-04,oil_change,1275.29,Oil Change - preventive,MECH-10,167955,2025-05-31,14.6
VEH-190,2024-12-27,oil_change,772.53,Oil Change - scheduled,MECH-10,142555,2025-09-01,15.9
VEH-236,2025-08-09,inspection,449.83,Inspection - preventive,MECH-3,59371,2026-04-04,5.2
VEH-184,2024-04-20,inspection,296.46,Inspection - routine,MECH-6,191337,2024-10-15,22.2
VEH-243,2025-10-24,oil_change,1180.42,Oil Change - preventive,MECH-2,51832,2026-10-01,1.9
VEH-258,2025-03-13,general_check,1154.18,General Check - routine,MECH-9,23344,2025-07-02,15.3
VEH-197,2025-05-16,oil_change,1091.61,Oil Change - scheduled,MECH-8,130242,2025-11-16,4.1
VEH-243,2025-10-12,brake_service,1551.39,Brake Service - routine,MECH-6,85627,2025-11-17,4.6
VEH-009,2024-07-20,tire_rotation,1438.8,Tire Rotation - routine,MECH-20,116385,2025-05-16,7.5
VEH-206,2025-12-26,repair,813.49,Repair - scheduled,MECH-7,188064,2026-04-02,19.9
VEH-062,2024-07-22,oil_change,1909.4,Oil Change - scheduled,MECH-19,133814,2025-06-07,14.7
VEH-182,2025-08-30,general_check,1439.31,General Check - routine,MECH-12,199914,2025-12-02,2.1
VEH-055,2025-06-15,replacement,181.8,Replacement - emergency,MECH-11,36982,2025-12-12,6.2
VEH-202,2025-10-30,oil_change,206.62,Oil Change - routine,MECH-8,44194,2026-07-30,18.1
VEH-078,2025-12-01,brake_service,1363.65,Brake Service - scheduled,MECH-2,68047,2026-04-20,6.1
VEH-012,2024-11-13,repair,598.34,Repair - routine,MECH-3,96314,2025-01-18,20.4
VEH-269,2025-03-04,general_check,1067.6,General Check - routine,MECH-4,199564,2025-04-27,8.5
VEH-045,2025-09-11,repair,390.77,Repair - routine,MECH-3,73977,2026-04-29,14.9
VEH-063,2025-03-02,replacement,1423.51,Replacement - emergency,MECH-13,129507,2025-04-23,17.2
VEH-179,2025-07-09,general_check,1632.75,General Check - emergency,MECH-9,43552,2026-06-23,14.4
VEH-035,2024-10-08,brake_service,862.89,Brake Service - preventive,MECH-19,85682,,14.8
VEH-276,2025-05-08,oil_change,1325.47,Oil Change - scheduled,MECH-8,49926,2026-04-15,4.4
VEH-136,2025-01-06,brake_service,367.82,Brake Service - emergency,MECH-8,155399,2025-03-26,23.3
VEH-206,2026-02-01,repair,713.64,Repair - scheduled,MECH-9,14866,2026-12-06,4.5
VEH-180,2025-07-29,general_check,331.53,General Check - routine,MECH-1,17109,2025-10-16,10.0
VEH-107,2024-07-08,inspection,350.82,Inspection - emergency,MECH-6,128163,2024-12-07,16.5
VEH-138,2025-07-27,repair,907.55,Repair - emergency,MECH-19,111472,2025-10-24,8.8
VEH-110,2024-11-12,oil_change,298.33,Oil Change - routine,MECH-10,173747,2025-03-23,7.7
VEH-236,2025-04-24,replacement,1023.51,Replacement - routine,MECH-20,66085,2026-03-28,22.9
VEH-063,2024-10-25,brake_service,1776.34,Brake Service - routine,MECH-3,35889,2025-01-11,7.4
VEH-099,2026-03-27,repair,738.49,Repair - routine,MECH-4,192577,2026-06-02,11.5
VEH-183,2024-12-04,replacement,105.43,Replacement - scheduled,MECH-20,198434,2025-04-12,21.2
VEH-138,2025-11-13,brake_service,1507.67,Brake Service - preventive,MECH-15,162249,2026-10-23,2.5
VEH-101,2024-11-21,brake_service,1971.38,Brake Service - emergency,MECH-9,35231,,12.2
VEH-103,2025-03-11,brake_service,1955.36,Brake Service - preventive,MECH-9,134650,2025-07-15,9.9
VEH-213,2024-07-05,tire_rotation,1781.28,Tire Rotation - emergency,MECH-1,115065,2024-08-26,3.5
VEH-039,2024-06-19,oil_change,1603.82,Oil Change - scheduled,MECH-14,33340,2024-11-16,22.5
VEH-195,2025-04-07,replacement,699.91,Replacement - routine,MECH-18,175345,2025-06-04,14.9
VEH-236,2024-12-02,replacement,1172.88,Replacement - scheduled,MECH-4,15305,2025-08-10,4.3
VEH-101,2026-03-04,replacement,832.65,Replacement - routine,MECH-13,120063,2026-04-25,13.4
VEH-294,2024-07-06,replacement,1623.76,Replacement - emergency,MECH-12,59435,2025-03-09,15.9
VEH-205,2025-10-27,repair,1794.94,Repair - preventive,MECH-6,193703,2026-08-20,5.8
VEH-156,2025-10-08,brake_service,234.37,Brake Service - emergency,MECH-18,133374,2026-01-23,8.2
VEH-162,2025-12-23,replacement,1412.88,Replacement - preventive,MECH-12,25358,2026-08-18,22.5
VEH-062,2026-02-24,brake_service,877.03,,MECH-14,64020,,21.8
VEH-069,2026-01-01,tire_rotation,895.9,Tire Rotation - preventive,MECH-11,57978,2026-03-16,7.1
VEH-134,2026-01-30,repair,1631.84,Repair - routine,MECH-13,162750,2026-04-14,3.4
VEH-290,2024-08-26,tire_rotation,1063.26,Tire Rotation - routine,MECH-9,61025,2025-03-24,12.7
VEH-133,2025-10-05,brake_service,1732.68,,MECH-11,153450,2026-08-27,2.4
VEH-272,2025-10-15,tire_rotation,1688.76,Tire Rotation - preventive,MECH-13,195484,2026-06-28,20.8
VEH-194,2025-01-05,tire_rotation,1598.83,Tire Rotation - routine,MECH-14,179905,2025-08-22,24.0
VEH-215,2025-01-08,general_check,1550.11,General Check - preventive,MECH-20,42600,2025-07-08,1.8
VEH-061,2026-01-28,tire_rotation,998.23,Tire Rotation - routine,MECH-12,94845,2026-08-29,2.7
VEH-290,2025-11-05,oil_change,374.67,Oil Change - emergency,MECH-7,119181,2026-10-01,10.7
VEH-022,2024-04-17,replacement,702.0,Replacement - preventive,MECH-3,186067,2024-09-19,7.8
VEH-050,2025-02-05,brake_service,111.87,Brake Service - scheduled,MECH-3,72685,2025-05-26,14.8
VEH-239,2024-07-12,oil_change,1955.01,Oil Change - routine,MECH-6,199042,2025-01-04,4.5
VEH-228,2025-12-26,oil_change,789.16,Oil Change - scheduled,MECH-8,124955,2026-09-07,6.8
VEH-272,2025-04-14,tire_rotation,1017.86,Tire Rotation - routine,MECH-7,18112,2025-06-20,4.3
VEH-154,2025-11-10,replacement,1945.25,Replacement - preventive,MECH-7,51889,2026-03-16,6.7
VEH-237,2025-04-11,inspection,423.48,Inspection - emergency,MECH-10,92550,2025-10-15,19.9
VEH-100,2025-06-06,inspection,900.7,Inspection - scheduled,MECH-5,137554,2025-10-17,21.0
VEH-040,2025-08-06,general_check,1196.61,General Check - emergency,MECH-18,123388,2026-03-08,15.9
VEH-125,2024-05-29,inspection,672.06,Inspection - emergency,MECH-4,156463,2024-09-24,20.4
VEH-035,2025-05-16,inspection,315.22,Inspection - scheduled,MECH-15,70064,2026-01-20,20.5
VEH-162,2025-10-25,general_check,1247.29,General Check - scheduled,MECH-2,158368,2026-10-21,16.8
VEH-264,2024-12-16,repair,612.13,Repair - routine,MECH-11,171293,2025-08-14,3.7
VEH-094,2024-07-18,general_check,861.6,General Check - scheduled,MECH-6,31532,2025-01-15,21.7
VEH-266,2025-06-03,replacement,1295.51,Replacement - routine,MECH-1,110435,2026-04-26,8.2
VEH-282,2025-01-15,oil_change,1416.11,Oil Change - scheduled,MECH-20,51766,2025-06-17,9.5
VEH-140,2024-12-17,tire_rotation,1391.05,Tire Rotation - routine,MECH-5,24985,2025-04-04,6.5
VEH-090,2025-08-30,replacement,441.7,Replacement - preventive,MECH-16,198845,2026-01-14,4.2
VEH-147,2025-09-11,general_check,1812.87,General Check - preventive,MECH-2,193627,2026-04-22,11.0
