date,location,fuel_type,price_per_liter,station_brand
2025-01-25,Cologne,e10,1.623,Rewe
2024-04-22,Stuttgart,e10,1.287,BP
2024-04-24,Dortmund,diesel,1.312,Rewe
2024-10-07,Cologne,electric,0.3,Rewe
2026-03-19,Stuttgart,diesel,1.618,Rewe
2024-09-02,Munich,diesel,1.857,Shell
2026-03-15,Leipzig,petrol,1.372,Total
2024-08-31,Leipzig,petrol,1.381,EDEKA
2025-04-20,Hamburg,petrol,1.365,Aral
2024-07-22,Dusseldorf,electric,0.302,Aral
2025-04-13,Hamburg,diesel,1.943,Rewe
2025-02-27,Dresden,e10,1.21,EDEKA
2025-08-04,Dusseldorf,e5,1.898,Rewe
2025-10-17,Hamburg,e10,1.418,Rewe
2025-04-14,Stuttgart,petrol,1.499,Shell
2024-09-04,Cologne,e5,1.515,EDEKA
2026-02-15,Munich,e5,1.955,Total
2025-03-05,Stuttgart,electric,0.42,Shell
2025-06-30,Frankfurt,diesel,1.67,Aral
2025-12-20,Stuttgart,e10,1.96,Total
2024-05-01,Berlin,diesel,2.172,Rewe
2026-03-15,Cologne,e5,1.51,EDEKA
2025-11-05,Dortmund,e10,1.864,BP
2025-09-12,Berlin,e5,1.842,EDEKA
2026-03-22,Berlin,e10,1.47,BP
2025-08-07,Dusseldorf,electric,0.328,Rewe
2025-07-20,Dusseldorf,e5,2.0,Aral
2025-07-13,Dresden,e10,1.299,Rewe
2026-03-06,Berlin,e10,1.328,BP
2024-05-01,Munich,petrol,1.971,Rewe
2024-12-05,Dusseldorf,e5,2.085,Total
2024-12-14,Dortmund,e10,1.92,Aral
2024-08-18,Dusseldorf,e5,2.198,Shell
2024-04-16,Munich,e5,1.463,Aral
2026-03-09,Stuttgart,e5,1.872,EDEKA
2024-11-27,Dortmund,e5,1.788,Rewe
2024-05-09,Dortmund,diesel,4.014,BP
2024-09-25,Dresden,electric,0.225,Total
2025-11-01,Berlin,electric,0.294,Rewe
2025-03-12,Stuttgart,petrol,1.289,BP
2024-12-16,Frankfurt,e10,2.094,Rewe
2024-09-07,Dresden,e5,1.62,EDEKA
2025-04-02,Dortmund,e10,1.422,EDEKA
2024-10-21,Dusseldorf,petrol,1.273,Rewe
2025-11-23,Hamburg,e10,1.587,BP
2024-05-03,Cologne,e5,1.548,Shell
2025-03-04,Munich,diesel,2.059,Rewe
2025-02-02,Leipzig,petrol,2.087,Aral
2025-01-04,Stuttgart,petrol,1.754,BP
2024-06-23,Dusseldorf,e5,1.399,Total
2025-04-19,Dortmund,e5,1.623,Shell
2024-07-05,Leipzig,petrol,1.512,Aral
2026-04-11,Cologne,electric,0.293,Aral
2025-02-14,Stuttgart,e10,2.12,BP
2026-03-05,Frankfurt,e5,2.039,Shell
2025-03-12,Munich,e5,1.563,EDEKA
2025-06-12,Leipzig,e5,1.768,BP
2025-09-22,Stuttgart,e10,2.123,Aral
2024-08-05,Munich,electric,0.264,Rewe
2024-09-06,Dortmund,electric,0.467,BP
2024-09-01,Dortmund,e10,1.466,BP
2024-06-15,Munich,petrol,1.214,EDEKA
2025-02-18,Leipzig,e5,1.897,Rewe
2024-05-01,Dortmund,e5,1.467,BP
2025-05-27,Munich,petrol,1.387,Aral
2025-03-24,Munich,petrol,1.623,Rewe
2024-06-27,Leipzig,diesel,1.395,EDEKA
2025-03-25,Leipzig,diesel,1.95,Total
2024-11-23,Munich,e10,2.049,Shell
2025-04-16,Dresden,electric,0.359,Total
2025-05-21,Dusseldorf,electric,0.472,EDEKA
2025-03-23,Stuttgart,diesel,2.055,EDEKA
2025-02-01,Leipzig,diesel,1.588,Aral
2025-05-19,Leipzig,electric,0.326,Rewe
2026-03-28,Dortmund,diesel,1.499,BP
2026-01-14,Hamburg,petrol,2.117,Total
2024-05-01,Frankfurt,e5,1.562,BP
2026-01-09,Dresden,diesel,1.533,Total
2025-08-24,Stuttgart,e10,1.274,EDEKA
2025-06-16,Dortmund,e10,1.535,Total
2024-06-29,Leipzig,electric,0.226,Shell
2025-10-24,Hamburg,e5,2.086,Aral
2024-05-23,Cologne,e10,1.276,Total
2025-08-01,Leipzig,e10,2.071,BP
2026-02-02,Dusseldorf,diesel,1.392,Aral
2026-03-23,Dresden,e5,6.003,Rewe
2025-09-16,Cologne,e5,1.716,Aral
2024-08-07,Stuttgart,petrol,1.579,Aral
2025-06-26,Leipzig,electric,0.488,BP
2025-08-02,Munich,electric,0.466,EDEKA
2024-08-28,Dortmund,diesel,1.849,EDEKA
2025-03-06,Dortmund,e5,1.682,Aral
2024-11-13,Hamburg,diesel,1.329,Total
2025-07-24,Berlin,e5,6.1259999999999994,BP
2025-01-03,Dresden,electric,0.224,Total
2024-08-29,Stuttgart,e5,2.121,EDEKA
2026-01-31,Hamburg,electric,0.404,BP
2025-08-18,Berlin,e10,1.679,BP
2025-06-10,Cologne,diesel,1.741,EDEKA
2025-03-01,Dusseldorf,e10,1.307,Aral
2025-10-06,Frankfurt,e10,2.0,Aral
2024-06-26,Munich,electric,0.247,Shell
2025-04-22,Dortmund,electric,0.244,Rewe
2024-10-30,Frankfurt,electric,0.468,Aral
2025-10-09,Dresden,diesel,1.899,Aral
2025-12-09,Munich,diesel,1.66,Total
2024-09-18,Frankfurt,electric,0.356,BP
2024-12-11,Leipzig,petrol,4.5569999999999995,EDEKA
2025-12-13,Stuttgart,diesel,5.292,Rewe
2026-01-30,Munich,electric,0.289,Aral
2026-02-25,Cologne,e10,1.598,BP
2025-12-25,Munich,diesel,1.809,EDEKA
2024-06-19,Dresden,electric,0.487,Total
2025-07-12,Berlin,diesel,1.355,BP
2025-12-27,Stuttgart,electric,0.315,Rewe
2025-04-03,Dresden,petrol,1.919,Shell
2025-04-19,Frankfurt,e5,1.816,Shell
2025-07-10,Dusseldorf,diesel,2.106,EDEKA
2026-01-21,Hamburg,petrol,1.788,EDEKA
2025-12-09,Frankfurt,petrol,2.076,Rewe
2026-01-01,Frankfurt,e5,2.127,Rewe
2025-03-17,Cologne,diesel,2.165,Shell
2026-03-12,Dusseldorf,diesel,1.34,EDEKA
2025-10-28,Berlin,e10,2.078,Rewe
2025-11-19,Dusseldorf,petrol,1.277,BP
2025-01-23,Leipzig,e5,3.936,Total
2025-03-28,Berlin,diesel,2.198,EDEKA
2026-02-10,Stuttgart,petrol,1.716,Shell
2024-08-31,Dusseldorf,e10,1.551,BP
2024-07-05,Hamburg,petrol,1.334,BP
2026-01-26,Hamburg,electric,0.327,Shell
2025-11-22,Stuttgart,e10,1.685,Shell
2025-01-23,Leipzig,electric,0.213,Shell
2025-01-01,Frankfurt,e10,1.944,EDEKA
2025-06-11,Dresden,diesel,1.331,EDEKA
2026-03-15,Hamburg,e5,2.165,Total
2025-12-12,Leipzig,petrol,1.344,Aral
2026-03-28,Dortmund,diesel,1.39,Total
2024-07-15,Stuttgart,e5,1.26,Rewe
2025-10-19,Dusseldorf,diesel,1.74,Aral
2024-05-09,Cologne,e5,1.75,BP
2025-02-18,Dresden,diesel,1.831,Total
2025-02-25,Berlin,e5,1.707,EDEKA
2025-12-18,Dortmund,e5,2.193,EDEKA
2024-06-12,Cologne,e10,2.117,Shell
2024-10-10,Berlin,diesel,1.218,BP
2025-03-07,Frankfurt,petrol,1.536,Rewe
2025-04-08,Dusseldorf,diesel,1.949,BP
2026-01-30,Munich,petrol,2.056,Shell
2024-06-06,Berlin,electric,0.409,BP
2025-02-06,Hamburg,electric,0.412,EDEKA
2026-01-20,Dortmund,e5,1.584,Shell
2024-06-29,Hamburg,diesel,1.352,Rewe
2025-04-11,Leipzig,e5,2.159,Rewe
2024-08-14,Berlin,e5,2.002,Shell
2024-11-12,Stuttgart,e10,1.429,Aral
2026-02-04,Stuttgart,e5,1.329,Total
2025-11-11,Berlin,electric,0.3,Shell
2025-06-20,Hamburg,petrol,1.403,Total
2025-07-10,Dresden,petrol,2.118,Shell
2024-11-11,Dusseldorf,e5,1.589,Aral
2024-10-30,Dresden,petrol,1.979,Total
2025-01-21,Hamburg,e5,1.691,BP
2025-12-26,Hamburg,petrol,1.824,Shell
2025-06-06,Dortmund,e10,1.942,Aral
2025-08-14,Munich,petrol,1.928,Shell
2025-11-30,Cologne,electric,0.491,Aral
2024-10-17,Dresden,electric,0.329,EDEKA
2025-11-09,Leipzig,petrol,1.766,Total
2025-02-14,Leipzig,e10,1.463,EDEKA
2025-12-01,Stuttgart,electric,0.226,EDEKA
2026-02-02,Dortmund,diesel,1.971,Aral
2025-10-17,Dusseldorf,electric,0.491,Rewe
2025-10-19,Frankfurt,petrol,1.65,Aral
2024-05-29,Dortmund,petrol,1.7,Rewe
2026-03-15,Leipzig,diesel,2.145,Total
2024-07-25,Cologne,e10,2.034,Shell
2025-06-08,Leipzig,diesel,1.831,Aral
2025-10-19,Hamburg,diesel,1.964,Rewe
2025-12-28,Hamburg,diesel,1.35,Aral
2024-05-13,Dortmund,e5,2.055,Total
2025-05-19,Berlin,electric,0.309,Total
2026-02-21,Dusseldorf,electric,0.392,Rewe
2026-03-15,Munich,petrol,1.903,Shell
2025-01-02,Berlin,electric,0.385,Rewe
2024-07-30,Dortmund,e5,2.067,Aral
2024-05-22,Berlin,e5,2.087,BP
2024-08-24,Munich,petrol,1.614,EDEKA
2024-10-20,Cologne,e10,1.649,EDEKA
2024-05-28,Dortmund,diesel,1.446,Aral
2025-06-09,Leipzig,electric,0.226,Shell
2025-01-30,Leipzig,diesel,1.464,Aral
2024-06-30,Berlin,electric,0.275,EDEKA
2025-02-15,Berlin,diesel,1.788,EDEKA
2025-02-28,Dresden,e10,1.228,Total
2025-01-31,Dortmund,e5,1.302,Shell
2025-08-28,Cologne,electric,0.205,Shell
2024-08-15,Dresden,e10,1.338,Total
2025-08-14,Dortmund,e5,1.81,EDEKA
2026-01-25,Leipzig,e5,2.084,BP
2026-02-02,Dortmund,e5,2.167,Shell
2024-08-22,Munich,petrol,1.858,Shell
2025-10-28,Dortmund,petrol,1.504,Shell
2026-02-23,Dortmund,petrol,1.522,Rewe
2025-05-09,Munich,petrol,1.293,Aral
2026-02-06,Berlin,petrol,1.497,Total
2025-06-26,Frankfurt,petrol,4.098000000000001,EDEKA
2024-12-01,Dortmund,electric,0.427,Aral
2024-11-29,Munich,e10,1.314,Total
2026-03-03,Dortmund,petrol,1.844,Total
2024-11-19,Stuttgart,diesel,1.512,BP
2025-04-02,Frankfurt,e5,1.632,Total
2025-10-30,Cologne,electric,0.255,Shell
2024-08-31,Cologne,electric,0.363,Shell
2024-08-22,Dortmund,e5,1.519,BP
2024-06-16,Hamburg,petrol,1.888,Aral
2024-12-08,Munich,petrol,2.196,Shell
2026-01-08,Dresden,e10,1.854,Rewe
2024-10-16,Cologne,electric,0.466,Shell
2026-01-13,Berlin,electric,0.219,Shell
2024-11-20,Berlin,petrol,1.4,Shell
2025-08-13,Dortmund,diesel,1.552,Total
2025-08-15,Dortmund,petrol,1.832,BP
2024-10-26,Munich,diesel,1.582,BP
2025-09-20,Leipzig,petrol,1.483,Shell
2024-05-30,Leipzig,petrol,1.515,Rewe
2025-10-12,Hamburg,e5,2.082,Shell
2025-09-02,Cologne,diesel,1.601,Rewe
2025-10-06,Berlin,diesel,1.779,BP
2025-01-13,Munich,e10,1.562,Rewe
2024-10-17,Leipzig,diesel,1.459,BP
2026-01-13,Stuttgart,diesel,1.999,Aral
2025-08-27,Berlin,electric,0.879,Shell
2025-11-10,Frankfurt,e10,1.927,BP
2025-12-08,Hamburg,diesel,1.451,Shell
2024-11-26,Dusseldorf,electric,0.355,Total
2025-03-03,Dortmund,diesel,1.661,Aral
2025-09-20,Leipzig,electric,0.479,Shell
2025-02-04,Berlin,electric,0.359,EDEKA
2025-04-30,Munich,e10,2.178,EDEKA
2025-07-16,Munich,e10,1.652,Shell
2024-09-18,Leipzig,diesel,1.211,Rewe
2024-08-25,Dortmund,e5,1.976,BP
2024-11-05,Hamburg,e10,2.087,BP
2024-08-05,Berlin,petrol,1.341,Aral
2024-04-13,Dresden,petrol,2.09,Shell
2024-10-06,Cologne,petrol,1.652,Total
2025-12-26,Frankfurt,e5,1.461,Total
2024-11-07,Cologne,electric,0.462,Shell
2025-05-31,Leipzig,electric,0.442,Total
2025-08-14,Stuttgart,petrol,1.952,Shell
2025-03-15,Dresden,e10,1.924,Total
2026-03-23,Munich,diesel,1.251,Shell
2024-07-23,Frankfurt,e10,1.438,Shell
2026-02-06,Berlin,electric,0.324,Aral
2025-01-14,Berlin,electric,0.417,EDEKA
2025-11-02,Berlin,e5,1.92,Rewe
2025-12-19,Dortmund,petrol,1.338,BP
2025-01-08,Berlin,petrol,1.634,Total
2025-07-31,Dortmund,petrol,1.937,Shell
2024-07-28,Stuttgart,e10,1.885,Shell
2024-04-26,Cologne,petrol,2.043,Total
2025-04-01,Frankfurt,petrol,1.472,Rewe
2026-03-13,Dresden,petrol,1.398,BP
2024-07-31,Dusseldorf,e10,1.431,Rewe
2024-10-26,Dusseldorf,e5,1.821,Shell
2025-10-17,Cologne,electric,0.313,Aral
2024-12-13,Cologne,electric,0.232,Shell
2024-09-01,Dresden,electric,0.365,Aral
2025-08-18,Dortmund,diesel,2.172,Rewe
2024-12-20,Dresden,electric,0.21,EDEKA
2025-09-28,Stuttgart,electric,0.298,Shell
2025-03-25,Stuttgart,diesel,2.173,BP
2025-02-26,Dortmund,petrol,2.13,Shell
2025-09-19,Berlin,e5,2.008,Shell
2025-01-20,Frankfurt,electric,0.345,BP
2024-06-23,Cologne,e5,2.134,Rewe
2025-08-20,Berlin,e10,1.794,Total
2026-02-03,Munich,diesel,2.116,Shell
2025-08-31,Munich,diesel,1.537,EDEKA
2025-08-14,Cologne,petrol,2.197,Total
2026-01-10,Dortmund,diesel,1.523,Aral
2025-02-17,Dortmund,e5,1.793,Rewe
2026-02-19,Frankfurt,e5,2.064,Total
2025-01-24,Cologne,e5,1.982,Shell
2025-02-24,Dusseldorf,electric,0.222,Total
2025-01-15,Leipzig,e5,2.01,Total
2024-12-05,Munich,e5,1.312,Shell
2025-05-05,Cologne,petrol,1.462,Rewe
2025-09-05,Stuttgart,petrol,1.306,Rewe
2025-07-24,Dresden,diesel,1.757,Rewe
2026-04-06,Dortmund,e10,1.833,Shell
2024-06-15,Berlin,diesel,1.856,BP
2025-01-16,Dresden,e5,2.055,Total
2025-08-15,Stuttgart,e10,1.398,Shell
2025-02-06,Dresden,electric,0.454,EDEKA
2024-09-24,Dortmund,electric,0.5,Aral
2025-04-01,Leipzig,e5,1.377,Shell
2025-06-12,Stuttgart,e10,1.439,Shell
2025-09-26,Hamburg,e5,1.302,BP
2025-12-21,Dresden,e10,1.974,EDEKA
2025-07-09,Dortmund,electric,0.285,Total
2024-11-05,Leipzig,diesel,1.854,BP
2024-07-01,Dresden,electric,0.435,Aral
2024-12-15,Berlin,diesel,1.411,Shell
2024-11-21,Dresden,e5,1.341,BP
2025-01-31,Stuttgart,diesel,2.021,Aral
2024-11-14,Berlin,diesel,1.652,EDEKA
2025-10-09,Berlin,electric,0.337,Shell
2025-12-02,Stuttgart,e10,1.449,Total
2025-11-20,Frankfurt,petrol,2.155,Aral
2026-04-11,Leipzig,e5,1.898,Aral
2025-06-09,Hamburg,e5,2.17,Rewe
2024-04-22,Berlin,e5,2.039,Total
2025-07-13,Frankfurt,e10,1.655,BP
2026-04-08,Leipzig,petrol,1.235,Shell
2024-11-12,Munich,diesel,1.815,Total
2025-05-05,Stuttgart,petrol,1.904,Rewe
2025-12-07,Berlin,diesel,1.563,Total
2024-05-24,Dresden,electric,0.305,BP
2025-12-26,Frankfurt,e5,1.421,Shell
2024-08-29,Dortmund,electric,0.336,EDEKA
2025-02-16,Dusseldorf,e5,2.056,Rewe
2025-03-14,Dusseldorf,diesel,1.847,Aral
2025-10-14,Frankfurt,electric,0.252,Total
2025-06-16,Munich,electric,0.25,EDEKA
2025-06-21,Dusseldorf,petrol,1.451,BP
2025-10-26,Berlin,electric,0.373,Rewe
2025-12-30,Dusseldorf,petrol,2.177,Rewe
2024-12-02,Stuttgart,petrol,1.272,Shell
2025-12-05,Dusseldorf,e5,1.379,Total
2024-12-15,Dortmund,electric,0.437,Total
2026-01-02,Frankfurt,petrol,1.865,Rewe
2024-09-12,Hamburg,diesel,1.472,Total
2024-09-14,Berlin,electric,0.313,Total
2025-06-09,Dresden,diesel,2.124,Rewe
2024-07-24,Munich,e10,1.696,Shell
2025-12-01,Leipzig,e10,1.208,Total
2025-01-18,Berlin,electric,0.382,Rewe
2025-11-28,Frankfurt,e10,1.52,BP
2024-06-13,Leipzig,diesel,1.474,EDEKA
2024-11-05,Dortmund,e10,2.199,Total
2026-01-30,Leipzig,petrol,1.304,EDEKA
2026-04-13,Dortmund,electric,0.445,Shell
2025-07-14,Dusseldorf,petrol,2.082,Shell
2026-02-01,Stuttgart,electric,0.34,Aral
2026-03-02,Frankfurt,petrol,1.571,Rewe
2024-08-18,Dortmund,electric,0.335,Total
2025-02-27,Leipzig,petrol,1.667,Aral
2024-10-04,Berlin,e10,1.615,Total
2025-11-09,Cologne,e5,1.683,Total
2025-02-15,Hamburg,petrol,1.764,EDEKA
2026-03-06,Dusseldorf,electric,0.311,Rewe
2025-11-16,Dresden,e10,1.629,Rewe
2024-09-16,Frankfurt,diesel,1.58,EDEKA
2026-03-04,Munich,e10,2.025,Aral
2025-03-16,Dusseldorf,e10,1.939,BP
2025-02-20,Leipzig,electric,0.221,Aral
2024-12-15,Hamburg,petrol,1.205,Total
2025-09-30,Dusseldorf,e5,1.318,Aral
2026-01-30,Dresden,electric,0.211,BP
2026-02-18,Stuttgart,e5,1.477,EDEKA
2025-07-13,Leipzig,electric,0.215,Aral
2025-12-09,Frankfurt,e10,1.548,EDEKA
2024-11-12,Frankfurt,petrol,1.769,BP
2024-04-20,Frankfurt,e5,1.468,Total
2025-09-05,Dusseldorf,e5,1.934,Aral
2024-04-23,Munich,electric,0.466,Rewe
2026-02-27,Frankfurt,petrol,2.078,Shell
2024-12-22,Cologne,petrol,1.518,Shell
2026-01-01,Dortmund,diesel,1.698,Rewe
2026-03-19,Dresden,petrol,1.94,Shell
2024-08-02,Munich,e10,1.532,Rewe
2025-07-18,Berlin,e5,1.97,Shell
2025-09-23,Dusseldorf,electric,1.419,EDEKA
2025-04-26,Dresden,e10,1.842,Total
2025-01-26,Cologne,petrol,1.854,Rewe
2025-04-01,Munich,electric,0.403,EDEKA
2025-06-06,Cologne,e5,1.902,BP
2026-04-03,Hamburg,e10,2.196,Total
2025-04-21,Hamburg,diesel,1.76,Aral
2025-07-06,Munich,e5,1.227,Aral
2025-12-25,Dresden,e5,1.52,Rewe
2025-04-10,Frankfurt,petrol,1.741,Aral
2024-10-12,Dortmund,e5,1.23,BP
2025-11-16,Cologne,e10,1.514,Shell
2025-01-23,Munich,e10,1.289,EDEKA
2024-09-30,Dusseldorf,e10,2.025,Rewe
2025-09-17,Stuttgart,diesel,1.519,Aral
2025-09-27,Dortmund,e5,1.365,Shell
2024-06-10,Munich,e5,2.089,Total
2025-11-13,Leipzig,petrol,1.75,Total
2025-04-27,Munich,electric,0.411,Shell
2025-12-19,Dresden,e10,1.83,Shell
2024-10-26,Leipzig,petrol,1.2,EDEKA
2024-10-07,Dusseldorf,diesel,1.632,Rewe
2026-04-13,Stuttgart,diesel,2.16,Total
2025-05-06,Dresden,diesel,2.131,Rewe
2024-05-25,Dusseldorf,e10,1.762,Aral
2025-02-18,Stuttgart,e10,1.379,Aral
2025-08-30,Dresden,e5,1.216,Shell
2024-06-25,Dusseldorf,e5,1.346,Shell
2024-04-30,Dusseldorf,e10,2.176,BP
2025-04-12,Frankfurt,e10,1.887,EDEKA
2025-03-23,Stuttgart,petrol,1.765,Total
2025-06-09,Frankfurt,diesel,1.817,Aral
2025-01-03,Dusseldorf,petrol,1.457,Shell
2025-11-24,Cologne,diesel,2.131,Total
2025-04-20,Munich,petrol,1.846,EDEKA
2025-10-26,Dortmund,petrol,1.74,Rewe
2025-10-16,Berlin,diesel,1.648,Shell
2025-10-27,Dusseldorf,e10,1.758,BP
2026-03-18,Dortmund,electric,0.315,EDEKA
2026-02-24,Munich,petrol,1.823,Rewe
2024-10-06,Leipzig,electric,0.442,Aral
2026-01-02,Berlin,e5,2.196,Shell
2025-01-01,Dortmund,petrol,1.584,Rewe
2025-08-26,Leipzig,petrol,1.667,Total
2024-05-19,Munich,diesel,2.044,Aral
2024-04-23,Munich,e5,1.27,Aral
2024-12-24,Berlin,e5,1.82,Rewe
2025-09-18,Dusseldorf,petrol,1.736,EDEKA
2025-10-08,Dusseldorf,petrol,1.933,Rewe
2025-09-11,Leipzig,e10,1.577,Rewe
2026-03-09,Frankfurt,e5,1.211,Rewe
2026-01-24,Berlin,diesel,2.007,Aral
2025-07-10,Leipzig,electric,0.492,Rewe
2025-01-13,Frankfurt,e10,1.968,BP
2026-01-03,Berlin,petrol,2.124,Rewe
2025-07-21,Dortmund,electric,0.309,BP
2025-05-17,Stuttgart,electric,0.334,BP
2025-12-22,Dusseldorf,diesel,1.78,EDEKA
2024-11-24,Berlin,diesel,2.045,EDEKA
2025-08-28,Berlin,petrol,1.59,Shell
2025-12-24,Cologne,electric,0.256,Shell
2025-07-22,Leipzig,petrol,1.753,Aral
2024-04-29,Dortmund,e5,1.593,BP
2026-02-15,Munich,electric,0.358,Total
2025-11-02,Stuttgart,petrol,1.637,Shell
2025-08-24,Cologne,e5,2.129,Shell
2025-11-17,Munich,electric,0.385,Total
2025-02-19,Berlin,petrol,1.391,Total
2024-08-17,Hamburg,e5,2.008,Total
2024-07-17,Munich,e5,1.455,Rewe
2025-01-25,Cologne,diesel,1.669,BP
2024-04-30,Leipzig,e5,1.64,BP
2025-08-12,Dortmund,e10,1.444,Rewe
2025-06-15,Dortmund,e10,1.91,Total
2025-12-06,Cologne,petrol,1.657,EDEKA
2025-06-01,Munich,diesel,1.911,Shell
2024-08-11,Hamburg,electric,0.217,Total
2025-03-27,Dortmund,e10,1.921,Total
2025-06-23,Munich,diesel,1.895,Rewe
2026-03-13,Hamburg,e5,4.218,BP
2024-06-11,Cologne,petrol,1.821,Shell
2026-04-12,Cologne,e10,1.908,Aral
2025-01-20,Dresden,petrol,1.878,Total
2024-05-15,Dortmund,e10,1.447,Total
2025-09-22,Berlin,electric,0.22,Rewe
2024-05-05,Dresden,e10,1.363,EDEKA
2025-02-23,Dresden,e10,1.416,EDEKA
2025-08-25,Stuttgart,e5,1.454,Shell
2024-05-24,Cologne,e5,2.183,Aral
2024-07-21,Munich,diesel,1.204,Rewe
2025-08-25,Dresden,electric,0.382,Rewe
2025-09-25,Stuttgart,e10,1.988,Aral
2025-09-09,Dresden,diesel,1.959,EDEKA
2025-04-22,Munich,petrol,1.718,Shell
2025-02-20,Munich,e10,1.848,Rewe
2025-07-22,Hamburg,petrol,1.87,Shell
2024-12-02,Leipzig,petrol,1.601,EDEKA
2024-11-06,Cologne,diesel,1.931,BP
2025-12-18,Dresden,e10,1.642,Aral
2026-04-12,Dortmund,e10,1.314,Shell
2025-12-08,Berlin,electric,0.493,Total
2025-12-24,Dusseldorf,petrol,2.093,EDEKA
2025-12-21,Leipzig,e5,1.36,Total
2025-03-19,Hamburg,e10,1.394,Rewe
2025-11-17,Leipzig,petrol,4.845,BP
2025-09-15,Dresden,diesel,1.47,Aral
2025-06-12,Frankfurt,electric,0.328,Rewe
2025-10-30,Dusseldorf,e10,1.709,Shell
2024-05-22,Dusseldorf,e10,1.271,Total
2026-01-08,Dresden,e10,1.972,BP
2024-06-15,Dresden,e5,1.592,Total
2025-07-29,Dresden,e5,1.544,BP
2025-09-12,Munich,e5,2.131,Aral
2025-07-13,Munich,diesel,1.716,EDEKA
2025-08-17,Dortmund,e10,1.786,Shell
2026-02-23,Berlin,electric,0.276,Shell
2025-05-18,Munich,diesel,1.565,EDEKA
2024-10-12,Hamburg,diesel,1.858,BP
2026-01-05,Dortmund,e5,2.085,BP
2024-12-16,Dresden,e5,2.174,EDEKA
2025-05-26,Cologne,e10,2.169,Shell
2024-07-31,Stuttgart,diesel,2.004,Aral
2024-08-02,Dortmund,e10,1.336,Shell
2026-02-14,Hamburg,diesel,1.642,BP
2025-06-15,Dusseldorf,e10,2.127,Rewe
2025-07-18,Cologne,petrol,1.552,Aral
2024-05-21,Berlin,e5,2.035,Rewe
2024-09-13,Stuttgart,petrol,1.426,BP
2025-03-17,Leipzig,e10,4.26,BP
