driver_id,date,total_deliveries,on_time_deliveries,late_deliveries,rating,customer_complaints,fuel_efficiency,accidents,overtime_hours
DRV-0007,2025-12-17,27,23,4,,4.0,7.8,1,0.8
DRV-0268,2025-01-04,17,4,13,2.91,4.0,19.89,2,6.2
DRV-0131,2024-08-16,17,6,11,3.55,0.0,16.52,0,5.1
DRV-0469,2025-08-28,37,10,27,2.91,2.0,14.96,3,2.8
DRV-0196,2024-10-08,9,3,6,,3.0,6.44,0,6.8
DRV-0405,2026-03-31,25,20,5,4.02,1.0,17.55,2,7.2
DRV-0330,2024-04-23,27,19,8,3.91,2.0,19.53,0,3.9
DRV-0201,2025-01-09,16,9,7,3.86,4.0,6.61,2,4.9
DRV-0003,2024-12-24,33,5,28,3.17,5.0,19.41,1,0.7
DRV-0411,2025-04-12,23,3,20,4.97,4.0,10.72,1,4.0
DRV-0279,2024-11-04,30,4,26,4.92,1.0,6.7,2,0.4
DRV-0099,2025-08-06,34,19,15,4.71,1.0,13.46,3,1.4
DRV-0082,2024-10-26,12,10,2,2.64,4.0,14.84,0,3.7
DRV-0006,2025-08-10,28,13,15,,0.0,16.6,0,6.3
DRV-0486,2025-10-28,35,4,31,4.11,4.0,14.0,2,0.7
DRV-0154,2026-01-10,13,11,2,3.1,2.0,11.38,2,7.9
DRV-0239,2026-02-23,16,7,9,4.09,5.0,8.8,3,7.8
DRV-0031,2025-05-27,14,13,1,3.15,2.0,13.32,2,7.7
DRV-0414,2025-12-15,23,5,18,4.01,4.0,16.77,0,2.2
DRV-0108,2024-06-30,14,8,6,2.92,3.0,7.59,3,4.6
DRV-0060,2026-03-30,7,2,5,4.56,2.0,19.66,0,3.8
DRV-0150,2024-12-20,13,6,7,2.74,4.0,17.56,1,0.9
DRV-0438,2025-09-15,27,24,3,4.15,0.0,17.94,1,5.8
DRV-0016,2025-09-23,15,14,1,3.19,3.0,14.91,2,6.2
DRV-0193,2024-09-22,6,4,2,2.76,3.0,10.64,3,7.3
DRV-0244,2024-09-09,10,5,5,3.25,5.0,17.25,2,4.3
DRV-0381,2024-07-08,34,3,31,3.24,4.0,9.07,1,6.3
DRV-0207,2025-03-21,13,10,3,3.35,,17.79,0,0.7
DRV-0488,2025-01-29,15,13,2,4.0,3.0,19.63,1,6.6
DRV-0411,2026-02-21,37,11,26,3.61,0.0,6.56,0,7.7
DRV-0239,2024-07-05,29,28,1,,3.0,13.07,3,6.1
DRV-0448,2026-03-06,23,1,22,,3.0,7.35,3,1.7
DRV-0438,2025-01-03,33,9,24,2.76,1.0,11.9,0,4.3
DRV-0221,2024-12-26,35,32,3,,1.0,15.42,0,0.1
DRV-0432,2025-02-18,18,11,7,3.99,4.0,8.14,3,3.9
DRV-0230,2025-12-13,32,6,26,3.45,2.0,6.67,3,1.4
DRV-0375,2024-08-08,24,14,10,4.62,5.0,16.85,3,3.8
DRV-0300,2026-01-06,31,5,26,2.97,0.0,12.86,1,2.6
DRV-0219,2025-10-29,27,13,14,3.67,5.0,7.29,1,7.6
DRV-0247,2026-03-19,21,10,11,3.38,4.0,8.15,1,5.8
DRV-0202,2024-07-31,36,18,18,4.35,2.0,7.15,3,0.1
DRV-0413,2025-09-18,10,9,1,3.15,4.0,6.59,3,2.5
DRV-0235,2024-05-07,39,33,6,4.66,3.0,17.19,1,1.3
DRV-0400,2024-11-20,28,15,13,,0.0,11.56,2,0.5
DRV-0082,2024-06-13,40,7,33,4.19,5.0,17.9,1,6.3
DRV-0017,2024-10-26,34,32,2,3.22,2.0,14.52,1,3.6
DRV-0466,2024-07-09,24,11,13,3.13,4.0,12.71,3,6.6
DRV-0142,2026-01-13,8,8,0,4.93,1.0,18.31,3,4.9
DRV-0364,2025-10-10,18,4,14,4.73,2.0,18.49,3,7.1
DRV-0487,2025-02-07,35,10,25,2.65,5.0,7.76,0,5.6
DRV-0244,2026-02-08,23,6,17,4.93,3.0,11.47,0,2.3
DRV-0404,2025-01-30,24,18,6,2.79,3.0,9.62,3,5.9
DRV-0455,2026-01-18,9,4,5,4.43,4.0,12.82,0,6.6
DRV-0184,2025-11-08,33,32,1,2.69,0.0,13.16,1,6.6
DRV-0399,2025-08-29,9,2,7,3.08,1.0,18.85,3,3.6
DRV-0302,2026-01-01,32,20,12,3.78,0.0,16.39,2,6.3
DRV-0272,2026-01-25,28,5,23,3.77,0.0,11.22,1,4.0
DRV-0217,2025-03-31,18,4,14,,0.0,10.87,0,7.2
DRV-0220,2025-06-09,5,5,0,4.4,0.0,19.1,2,6.2
DRV-0189,2026-03-10,35,13,22,3.81,1.0,9.74,2,3.5
DRV-0200,2024-12-16,33,6,27,2.94,0.0,9.37,1,4.5
DRV-0399,2024-07-03,32,27,5,3.29,5.0,18.13,1,4.2
DRV-0053,2024-12-28,6,3,3,3.2,2.0,7.47,0,0.6
DRV-0006,2024-10-29,22,14,8,3.74,4.0,15.39,3,0.6
DRV-0342,2025-07-22,7,3,4,3.83,4.0,15.93,3,0.8
DRV-0405,2026-02-02,8,3,5,4.37,0.0,8.11,3,6.3
DRV-0309,2025-01-23,23,13,10,2.55,5.0,6.46,2,0.8
DRV-0121,2025-06-26,12,5,7,3.88,0.0,12.51,1,3.6
DRV-0437,2025-08-16,40,26,14,4.79,3.0,16.5,0,3.8
DRV-0415,2025-01-12,23,15,8,3.48,4.0,10.27,2,6.7
DRV-0049,2025-06-20,7,4,3,3.09,4.0,16.85,1,2.8
DRV-0170,2024-06-30,8,7,1,4.11,4.0,17.35,0,5.7
DRV-0291,2025-02-24,39,23,16,3.3,5.0,10.78,3,4.9
DRV-0059,2024-06-12,24,5,19,2.64,3.0,14.61,3,6.9
DRV-0256,2025-03-16,32,5,27,3.17,5.0,10.24,0,6.2
DRV-0150,2025-11-29,13,5,8,3.54,1.0,10.45,3,2.1
DRV-0213,2025-06-22,9,6,3,4.35,1.0,13.97,0,3.2
DRV-0291,2025-02-26,32,22,10,3.44,0.0,7.01,0,6.5
DRV-0225,2025-04-02,29,27,2,,3.0,13.75,1,1.2
DRV-0352,2026-01-06,30,22,8,4.98,4.0,7.39,0,0.1
DRV-0425,2025-07-13,20,15,5,4.48,2.0,16.49,3,0.3
DRV-0325,2025-09-28,23,22,1,2.63,1.0,10.56,1,4.8
DRV-0353,2024-08-26,32,29,3,3.33,4.0,19.37,2,1.4
DRV-0072,2026-02-21,39,30,9,4.21,0.0,11.3,1,6.4
DRV-0160,2026-01-10,5,4,1,2.65,5.0,13.3,1,3.9
DRV-0325,2025-08-29,34,20,14,2.61,1.0,12.34,2,6.6
DRV-0433,2024-08-14,7,5,2,4.01,5.0,13.51,1,6.1
DRV-0179,2024-09-26,12,11,1,3.15,5.0,18.4,0,6.8
DRV-0450,2025-02-21,24,8,16,3.29,2.0,15.21,3,7.2
DRV-0442,2026-01-12,30,15,15,2.71,2.0,17.62,1,6.6
DRV-0443,2025-03-26,33,4,29,2.84,5.0,15.72,2,5.0
DRV-0076,2026-04-02,30,21,9,4.3,0.0,10.76,1,5.7
DRV-0016,2026-02-10,20,8,12,3.06,4.0,10.76,1,3.7
DRV-0446,2025-12-03,27,24,3,3.7,0.0,14.82,0,5.4
DRV-0056,2024-08-05,10,9,1,2.95,2.0,18.39,3,6.9
DRV-0032,2025-01-26,8,6,2,4.93,0.0,8.34,3,3.9
DRV-0069,2024-07-25,10,3,7,4.5,3.0,19.4,1,1.7
DRV-0479,2025-05-04,21,11,10,4.11,3.0,8.17,1,7.0
DRV-0453,2024-07-28,23,4,19,3.77,3.0,6.16,2,0.3
DRV-0348,2025-09-05,13,9,4,3.6,3.0,6.53,2,0.3
DRV-0397,2025-03-11,22,11,11,2.86,4.0,12.71,2,1.0
DRV-0138,2025-08-04,17,11,6,3.57,3.0,13.82,0,1.0
DRV-0469,2024-04-27,35,14,21,4.33,3.0,12.45,1,0.8
DRV-0301,2025-12-03,12,9,3,3.37,5.0,17.98,3,5.8
DRV-0345,2025-04-10,25,8,17,2.7,0.0,9.04,1,3.7
DRV-0072,2024-12-05,18,13,5,4.87,2.0,17.83,0,2.3
DRV-0422,2024-05-15,6,3,3,4.71,1.0,10.42,3,1.2
DRV-0252,2024-06-29,32,9,23,3.17,1.0,10.53,3,5.2
DRV-0171,2024-05-26,28,26,2,3.98,5.0,13.0,1,2.5
DRV-0356,2025-03-20,6,5,1,3.65,5.0,7.68,1,2.9
DRV-0066,2025-03-05,33,17,16,,2.0,18.39,2,3.1
DRV-0269,2025-10-08,33,5,28,4.27,1.0,19.79,1,6.5
DRV-0026,2025-12-05,6,4,2,4.01,1.0,19.38,0,2.3
DRV-0058,2026-02-11,34,6,28,4.23,2.0,11.64,2,0.7
DRV-0404,2025-04-03,26,18,8,4.99,4.0,7.32,3,7.5
DRV-0395,2024-09-18,15,4,11,4.71,,18.22,3,4.8
DRV-0385,2025-04-24,22,8,14,4.85,,11.6,2,1.1
DRV-0476,2025-01-03,22,7,15,2.89,0.0,10.77,0,2.6
DRV-0276,2024-08-28,16,13,3,3.97,,14.91,0,3.5
DRV-0260,2026-03-07,18,16,2,2.93,3.0,10.99,3,7.9
DRV-0134,2024-06-07,36,22,14,3.91,3.0,7.14,2,5.7
DRV-0489,2025-11-20,20,3,17,4.81,3.0,17.09,3,0.8
DRV-0282,2026-01-18,30,24,6,2.6,2.0,13.98,3,3.3
DRV-0374,2025-08-22,7,3,4,3.47,0.0,9.02,1,7.6
DRV-0110,2025-04-22,16,11,5,4.88,0.0,12.35,2,4.3
DRV-0451,2025-03-12,34,31,3,3.74,4.0,12.38,2,0.8
DRV-0249,2024-06-14,5,2,3,4.89,4.0,16.47,3,3.9
DRV-0468,2024-04-21,22,15,7,2.54,1.0,15.8,1,1.6
DRV-0067,2026-02-13,35,31,4,4.51,2.0,15.6,2,3.2
DRV-0027,2024-05-07,40,33,7,4.24,2.0,18.91,3,4.7
DRV-0490,2024-10-20,31,11,20,3.2,3.0,15.55,3,4.8
DRV-0187,2025-09-21,37,15,22,2.96,0.0,19.72,2,7.1
DRV-0078,2026-01-06,18,5,13,2.52,4.0,10.37,2,5.7
DRV-0183,2025-06-10,39,30,9,4.79,0.0,10.41,1,2.2
DRV-0020,2024-07-24,23,5,18,4.2,4.0,9.23,3,0.9
DRV-0040,2025-05-26,39,22,17,3.49,3.0,9.28,3,2.5
DRV-0413,2025-04-24,8,4,4,,2.0,17.28,0,4.9
DRV-0103,2025-09-25,30,6,24,4.41,0.0,18.68,3,1.5
DRV-0089,2025-04-08,14,8,6,4.83,2.0,9.28,2,5.6
DRV-0219,2025-04-19,15,3,12,4.29,2.0,19.86,2,3.4
DRV-0300,2025-05-25,6,4,2,3.1,1.0,19.67,2,2.6
DRV-0069,2025-09-01,12,11,1,2.57,5.0,13.85,2,4.7
DRV-0117,2026-01-18,29,21,8,3.72,2.0,11.7,1,2.7
DRV-0181,2024-08-05,7,5,2,4.19,3.0,15.67,3,0.1
DRV-0066,2024-07-05,24,19,5,3.04,4.0,6.8,2,4.9
DRV-0456,2026-02-01,15,10,5,4.01,2.0,14.26,2,1.3
DRV-0299,2024-06-13,35,25,10,3.71,0.0,19.38,3,4.8
DRV-0125,2024-04-29,35,32,3,4.62,5.0,13.7,0,5.4
DRV-0300,2025-07-20,27,26,1,4.34,3.0,15.37,0,3.6
DRV-0064,2025-08-19,32,20,12,4.71,5.0,19.9,0,1.9
DRV-0082,2024-04-22,31,23,8,2.54,3.0,13.7,0,1.2
DRV-0086,2025-02-20,20,16,4,4.24,3.0,14.98,1,5.8
DRV-0497,2024-04-19,12,8,4,2.51,0.0,18.87,1,1.5
DRV-0490,2024-12-02,35,7,28,3.26,5.0,6.87,1,1.3
DRV-0269,2024-12-28,21,8,13,2.54,2.0,18.58,3,2.2
DRV-0120,2025-10-09,12,3,9,3.92,3.0,9.13,2,4.0
DRV-0257,2025-02-16,39,18,21,4.8,3.0,7.55,3,3.3
DRV-0489,2025-12-17,37,34,3,3.11,5.0,11.58,0,2.4
DRV-0145,2024-04-25,37,9,28,3.71,0.0,12.38,1,7.9
DRV-0304,2024-05-28,12,10,2,3.08,1.0,6.42,3,1.0
DRV-0181,2025-04-18,33,12,21,3.11,1.0,7.31,2,7.5
DRV-0339,2024-05-14,25,4,21,2.95,2.0,17.53,2,3.7
DRV-0068,2024-08-09,20,16,4,2.8,5.0,8.71,2,4.1
DRV-0446,2025-05-06,29,12,17,3.75,2.0,7.93,2,5.7
DRV-0364,2025-10-27,39,20,19,3.41,5.0,13.48,3,1.3
DRV-0278,2024-06-23,40,13,27,3.53,1.0,13.97,3,6.0
DRV-0074,2025-03-08,11,8,3,2.55,1.0,14.51,2,4.1
DRV-0373,2025-11-19,32,12,20,4.55,2.0,8.32,1,7.0
DRV-0317,2026-02-17,32,14,18,4.21,4.0,9.27,3,7.9
DRV-0015,2026-03-06,32,30,2,4.47,0.0,13.29,3,1.2
DRV-0339,2025-07-09,19,10,9,2.98,4.0,16.59,2,4.8
DRV-0044,2024-06-22,20,0,20,3.93,2.0,18.27,2,4.0
DRV-0188,2024-04-19,9,3,6,4.96,4.0,18.6,3,2.1
DRV-0403,2026-03-10,13,10,3,2.52,1.0,11.28,3,7.0
DRV-0500,2025-07-18,12,7,5,3.13,4.0,8.11,2,6.1
DRV-0268,2025-12-11,23,17,6,2.83,1.0,14.57,2,3.2
DRV-0437,2024-08-29,11,8,3,3.06,5.0,19.07,2,7.0
DRV-0001,2025-03-15,40,29,11,,0.0,17.63,0,0.8
DRV-0378,2026-02-20,23,11,12,3.31,4.0,15.82,3,4.5
DRV-0443,2025-05-28,20,14,6,4.29,5.0,14.22,0,6.6
DRV-0467,2025-06-23,28,20,8,4.16,4.0,15.25,2,3.6
DRV-0151,2025-10-21,6,4,2,3.55,0.0,12.24,0,2.8
DRV-0127,2024-06-27,17,10,7,4.16,1.0,13.79,0,2.9
DRV-0321,2026-01-14,15,4,11,3.09,5.0,12.25,0,8.0
DRV-0120,2025-07-01,35,34,1,3.38,2.0,9.19,3,0.6
DRV-0161,2025-03-05,32,14,18,2.86,4.0,6.23,3,4.2
DRV-0446,2025-11-25,16,7,9,4.86,1.0,12.6,3,3.3
DRV-0382,2024-06-17,6,5,1,3.5,2.0,11.23,0,0.9
DRV-0230,2024-11-05,40,22,18,4.51,3.0,17.73,0,1.6
DRV-0068,2025-10-25,13,6,7,3.85,1.0,13.96,3,6.5
DRV-0104,2024-11-06,6,4,2,3.48,1.0,13.27,2,7.0
DRV-0001,2025-11-07,23,21,2,4.72,0.0,15.3,3,0.1
DRV-0185,2025-07-04,24,4,20,4.47,2.0,18.18,3,7.0
DRV-0193,2026-03-11,37,28,9,4.71,1.0,11.25,2,2.8
DRV-0205,2024-09-29,6,4,2,3.18,5.0,18.6,2,1.3
DRV-0454,2025-12-11,22,18,4,3.76,5.0,8.62,0,7.4
DRV-0359,2025-01-22,20,12,8,4.31,2.0,12.66,2,4.7
DRV-0004,2025-07-03,27,17,10,2.66,1.0,16.53,3,5.4
DRV-0449,2024-04-22,18,11,7,4.66,0.0,12.0,3,6.0
DRV-0206,2025-04-21,7,5,2,4.88,1.0,8.15,1,6.2
DRV-0275,2024-04-15,12,6,6,2.75,2.0,6.14,3,5.3
DRV-0369,2025-02-15,34,32,2,3.98,2.0,18.47,1,7.2
DRV-0484,2025-02-28,8,6,2,3.15,1.0,16.11,1,1.6
DRV-0329,2025-10-21,17,15,2,4.89,3.0,9.36,1,8.0
DRV-0139,2024-06-15,17,10,7,3.18,5.0,17.66,2,6.6
DRV-0263,2025-11-04,28,27,1,4.35,4.0,7.19,1,3.4
DRV-0247,2024-07-30,40,36,4,4.24,2.0,13.57,1,0.7
DRV-0217,2024-06-02,18,15,3,2.55,5.0,14.05,0,5.0
DRV-0095,2025-01-30,25,4,21,4.38,5.0,13.7,1,4.0
DRV-0208,2025-08-11,17,15,2,4.16,1.0,18.53,0,5.5
DRV-0462,2024-10-02,21,13,8,4.66,5.0,16.4,1,1.0
DRV-0395,2024-08-02,29,17,12,3.34,3.0,19.04,0,7.6
DRV-0460,2026-03-20,29,7,22,4.92,4.0,13.29,1,2.8
DRV-0243,2025-02-01,16,5,11,2.67,0.0,19.7,3,3.4
DRV-0194,2025-05-30,9,6,3,4.73,4.0,13.98,3,0.7
DRV-0339,2026-03-04,32,21,11,2.55,4.0,13.52,2,4.2
DRV-0496,2025-10-22,39,28,11,4.55,2.0,11.87,0,4.5
DRV-0394,2025-02-18,39,19,20,3.31,3.0,8.03,2,2.8
DRV-0093,2025-08-29,33,11,22,3.58,5.0,17.7,2,3.8
DRV-0484,2026-03-22,29,5,24,3.63,1.0,11.48,3,7.7
DRV-0484,2024-12-12,40,35,5,4.53,1.0,17.69,2,2.6
DRV-0396,2025-01-25,32,10,22,4.58,4.0,13.17,3,3.0
DRV-0002,2025-04-23,9,5,4,3.05,4.0,12.3,3,1.7
DRV-0194,2024-07-18,5,3,2,,4.0,19.19,1,2.0
DRV-0366,2025-10-19,40,11,29,3.75,5.0,19.33,0,4.8
DRV-0422,2024-10-28,11,10,1,3.71,3.0,19.98,1,1.3
DRV-0041,2025-11-27,20,16,4,4.53,0.0,9.99,0,3.6
DRV-0375,2025-11-20,36,16,20,3.62,4.0,18.53,3,2.4
DRV-0381,2025-06-03,19,5,14,3.45,2.0,10.08,1,1.8
DRV-0316,2025-11-07,39,5,34,4.15,4.0,13.28,2,2.4
DRV-0249,2024-04-28,32,11,21,4.0,3.0,15.85,0,4.7
DRV-0181,2025-09-15,22,20,2,3.18,2.0,11.13,2,3.7
DRV-0423,2025-11-06,9,3,6,4.81,4.0,16.27,1,1.6
DRV-0452,2025-04-23,34,19,15,4.34,1.0,13.26,2,5.5
DRV-0398,2025-05-14,28,9,19,2.96,1.0,7.84,0,2.3
DRV-0251,2025-08-01,33,27,6,,3.0,16.56,2,7.8
DRV-0387,2025-12-08,15,9,6,4.9,5.0,19.39,2,6.6
DRV-0424,2024-08-04,7,6,1,3.24,1.0,6.54,1,5.9
DRV-0464,2025-06-10,15,6,9,4.45,4.0,12.31,0,3.3
DRV-0223,2024-06-20,21,14,7,3.52,4.0,10.16,0,7.1
DRV-0042,2026-01-14,16,9,7,3.37,5.0,13.86,1,4.7
DRV-0154,2024-05-29,36,3,33,4.24,5.0,17.6,2,0.8
DRV-0030,2025-05-25,31,26,5,2.82,3.0,14.63,3,7.5
DRV-0346,2024-10-08,40,9,31,4.72,1.0,18.05,0,7.1
DRV-0023,2026-03-01,17,9,8,3.88,5.0,12.74,0,6.3
DRV-0320,2024-07-30,33,19,14,,4.0,8.35,2,1.2
DRV-0275,2025-11-27,37,14,23,4.88,2.0,12.35,1,6.4
DRV-0436,2024-05-20,39,23,16,2.95,2.0,19.42,0,0.5
DRV-0270,2025-12-13,5,4,1,2.54,1.0,6.48,0,5.9
DRV-0231,2025-01-19,17,14,3,3.18,0.0,9.13,1,2.3
DRV-0017,2024-08-15,6,3,3,4.3,5.0,6.3,2,3.2
DRV-0240,2024-12-20,24,20,4,3.08,0.0,8.79,3,1.0
DRV-0462,2025-07-04,19,18,1,3.07,4.0,12.32,2,7.2
DRV-0103,2024-07-09,12,10,2,4.97,5.0,16.45,1,0.9
DRV-0243,2025-05-03,13,10,3,,4.0,16.15,3,2.5
DRV-0160,2024-10-16,26,6,20,4.03,3.0,11.04,0,4.7
DRV-0454,2025-09-29,22,17,5,3.0,2.0,18.04,1,2.7
DRV-0276,2025-08-22,14,8,6,3.77,3.0,11.59,3,5.0
DRV-0209,2024-10-26,32,5,27,2.54,2.0,9.54,0,2.5
DRV-0441,2025-09-16,37,7,30,4.5,1.0,13.53,1,6.0
DRV-0163,2024-04-22,28,7,21,3.36,5.0,6.04,1,1.4
DRV-0325,2025-06-02,17,10,7,3.6,5.0,14.6,0,6.3
DRV-0073,2025-02-01,40,32,8,4.72,3.0,19.69,3,3.5
DRV-0473,2025-03-29,11,7,4,3.87,2.0,12.69,3,5.9
DRV-0040,2025-12-14,30,12,18,4.09,5.0,12.82,2,4.7
DRV-0396,2025-08-17,11,6,5,4.56,4.0,19.01,0,8.0
DRV-0371,2026-01-21,23,18,5,3.15,4.0,16.98,1,6.2
DRV-0456,2024-10-10,29,6,23,3.52,3.0,14.91,1,6.8
DRV-0263,2024-10-22,25,11,14,4.87,1.0,16.85,2,6.6
DRV-0175,2025-12-08,32,30,2,,2.0,12.25,1,7.0
DRV-0075,2025-08-14,23,16,7,4.9,3.0,6.55,0,6.2
DRV-0138,2024-04-14,19,18,1,4.64,4.0,9.91,3,6.8
DRV-0093,2025-11-24,21,19,2,2.68,2.0,10.87,3,1.4
DRV-0492,2024-09-05,30,18,12,,4.0,10.42,2,4.0
DRV-0337,2024-08-15,21,10,11,3.69,1.0,17.57,2,0.1
DRV-0410,2026-03-01,20,18,2,4.62,3.0,10.93,3,1.8
DRV-0031,2025-01-18,26,9,17,3.04,1.0,15.74,2,2.2
DRV-0378,2025-10-14,10,3,7,2.68,3.0,18.75,3,2.8
DRV-0234,2024-11-12,20,16,4,4.46,1.0,8.54,2,5.0
DRV-0450,2024-09-13,9,4,5,3.71,3.0,11.79,1,5.6
DRV-0272,2025-10-15,39,9,30,4.08,3.0,10.75,3,7.8
DRV-0355,2026-03-15,40,29,11,3.12,3.0,11.71,0,2.3
DRV-0033,2024-08-20,19,15,4,2.57,3.0,8.24,0,7.3
DRV-0083,2025-05-26,15,3,12,3.58,1.0,19.51,3,0.5
DRV-0412,2025-07-18,30,14,16,3.48,3.0,8.27,1,0.9
DRV-0066,2025-12-23,17,4,13,4.37,5.0,9.95,2,8.0
DRV-0125,2024-09-09,33,13,20,4.16,3.0,13.1,0,3.7
DRV-0223,2025-01-28,17,12,5,,3.0,6.62,1,4.3
DRV-0242,2024-07-01,39,23,16,3.45,0.0,15.19,1,4.5
DRV-0026,2025-06-12,22,10,12,4.92,0.0,14.37,2,0.5
DRV-0007,2025-12-01,25,13,12,4.71,3.0,12.37,0,4.9
DRV-0354,2025-02-28,9,3,6,2.6,4.0,19.08,2,6.0
DRV-0081,2025-02-04,7,5,2,3.09,4.0,8.69,2,6.6
DRV-0464,2024-07-02,16,13,3,4.62,4.0,13.87,3,7.9
DRV-0001,2025-07-22,33,13,20,4.79,0.0,7.55,3,3.4
DRV-0007,2024-12-18,14,3,11,3.19,5.0,8.76,1,0.7
DRV-0314,2025-04-05,16,3,13,2.91,5.0,13.27,0,2.6
DRV-0271,2025-01-23,10,8,2,4.54,0.0,11.17,0,0.2
DRV-0147,2025-08-08,21,3,18,3.98,4.0,10.99,1,7.7
DRV-0112,2025-05-05,5,3,2,4.19,0.0,8.31,3,3.0
DRV-0328,2024-11-15,14,12,2,4.19,1.0,12.04,1,5.3
DRV-0221,2024-11-28,26,3,23,2.77,5.0,12.95,0,4.7
DRV-0162,2025-06-23,8,7,1,4.21,3.0,9.23,0,2.9
DRV-0270,2026-02-11,24,10,14,3.82,0.0,15.11,3,6.2
DRV-0485,2025-04-08,22,3,19,2.75,1.0,9.75,2,0.8
DRV-0211,2025-11-01,11,3,8,3.2,1.0,14.85,1,1.3
DRV-0118,2026-04-01,39,35,4,4.27,5.0,17.8,0,3.4
DRV-0407,2025-01-31,22,15,7,3.03,4.0,15.24,2,4.2
DRV-0073,2025-12-14,32,30,2,4.78,5.0,7.27,1,1.5
DRV-0127,2024-10-12,37,11,26,4.91,2.0,18.17,3,4.4
DRV-0317,2025-07-08,35,11,24,2.6,3.0,8.04,2,5.8
DRV-0385,2024-10-10,37,21,16,2.74,5.0,14.34,0,2.9
DRV-0478,2025-03-03,25,10,15,2.52,1.0,7.97,2,0.3
DRV-0030,2026-03-16,20,11,9,2.78,0.0,8.58,2,6.1
DRV-0099,2025-11-05,29,26,3,,0.0,17.68,3,2.9
DRV-0165,2025-08-06,29,3,26,3.74,3.0,6.5,3,4.5
DRV-0275,2025-08-20,29,12,17,2.99,5.0,14.63,0,0.3
DRV-0267,2025-05-21,15,5,10,4.83,4.0,8.33,3,3.9
DRV-0221,2024-07-12,20,10,10,3.75,2.0,18.8,1,2.3
DRV-0369,2026-03-22,10,4,6,4.32,4.0,15.85,3,2.2
DRV-0035,2026-03-28,32,8,24,2.72,1.0,6.05,0,1.5
DRV-0282,2025-02-19,35,31,4,3.93,2.0,13.42,1,6.2
DRV-0437,2025-10-10,40,5,35,4.41,0.0,13.41,0,6.3
