feedback_id,order_id,customer_id,rating,comment,feedback_date,feedback_type,would_recommend
FD-00000053,ORD-00058161,CUST-03303,4,,2025-03-09 15:00:18,service,False
FD-00000054,ORD-00054388,CUST-15322,5,Late delivery,2025-02-13 15:00:18,packaging,False
FD-00000055,ORD-00094047,CUST-12528,4,Recommended!,2026-01-23 01:00:18,service,True
FD-00000056,ORD-00018480,CUST-06656,2,Good,2025-07-27 12:00:18,service,True
FD-00000057,ORD-00001352,CUST-08665,5,,2024-09-18 02:00:18,delivery,False
FD-00000058,ORD-00098996,CUST-18742,4,,2025-06-27 18:00:18,delivery,True
FD-00000059,ORD-00025961,CUST-14373,5,Late delivery,2024-12-30 00:00:18,packaging,False
FD-00000060,ORD-00063341,CUST-08267,1,,2024-12-22 07:00:18,delivery,True
FD-00000061,ORD-00059289,CUST-10438,4,Great delivery!,2024-08-23 17:00:18,packaging,False
FD-00000062,ORD-00043600,CUST-19147,1,Recommended!,2024-10-16 08:00:18,packaging,True
FD-00000063,ORD-00052639,CUST-14233,5,,2025-04-12 07:00:18,delivery,True
FD-00000064,ORD-00032843,CUST-19883,3,,2025-07-01 17:00:18,delivery,False
FD-00000065,ORD-00044367,CUST-10405,5,,2025-09-22 08:00:18,packaging,False
FD-00000066,ORD-00046654,CUST-15353,1,,2025-02-24 19:00:18,service,False
FD-00000067,ORD-00017737,CUST-08697,4,Not happy,2025-11-17 05:00:18,service,True
FD-00000068,ORD-00039999,CUST-18552,3,Package damaged,2024-05-22 19:00:18,delivery,False
FD-00000069,ORD-00007666,CUST-13545,1,Good,2024-08-08 14:00:18,packaging,False
FD-00000070,ORD-00085849,CUST-18930,3,Very fast,2025-11-30 02:00:18,packaging,False
FD-00000071,ORD-00029232,CUST-19673,3,,2024-06-27 22:00:18,packaging,True
FD-00000072,ORD-00080395,CUST-03873,1,,2025-05-12 19:00:18,service,False
FD-00000073,ORD-00016004,CUST-09393,2,,2025-02-16 22:00:18,packaging,True
FD-00000074,ORD-00020328,CUST-05846,3,,2025-06-20 12:00:18,service,False
FD-00000075,ORD-00010065,CUST-00942,5,Would order again,2026-02-17 05:00:18,delivery,False
FD-00000076,ORD-00025131,CUST-15907,4,Would order again,2025-10-07 02:00:18,service,True
FD-00000077,ORD-00013275,CUST-08314,4,Good,2026-03-14 20:00:18,packaging,False
FD-00000078,ORD-00096129,CUST-02728,5,,2025-10-04 08:00:18,service,False
FD-00000079,ORD-00083391,CUST-10045,2,,2026-04-06 19:00:18,packaging,False
FD-00000080,ORD-00012876,CUST-00012,2,Would order again,2026-03-07 23:00:18,service,True
FD-00000081,ORD-00006874,CUST-19104,2,Recommended!,2026-03-11 17:00:18,packaging,False
FD-00000082,ORD-00017876,CUST-00489,2,,2025-09-24 05:00:18,delivery,False
FD-00000083,ORD-00085020,CUST-08366,4,Would order again,2026-03-08 10:00:18,service,True
FD-00000084,ORD-00058726,CUST-13003,5,Late delivery,2025-10-22 00:00:18,service,False
FD-00000085,ORD-00073541,CUST-15006,5,,2024-12-01 14:00:18,packaging,False
FD-00000086,ORD-00095230,CUST-11813,4,Recommended!,2026-01-19 12:00:18,delivery,False
FD-00000087,ORD-00021679,CUST-00894,5,Recommended!,2025-01-06 22:00:18,delivery,True
FD-00000088,ORD-00099796,CUST-08310,3,On time,2025-03-28 14:00:18,service,True
FD-00000089,ORD-00050946,CUST-05425,1,On time,,service,False
FD-00000090,ORD-00048008,CUST-14071,2,Very fast,2026-01-03 08:00:18,packaging,True
FD-00000091,ORD-00002323,CUST-00825,4,Good,2024-10-24 13:00:18,delivery,True
FD-00000092,ORD-00000724,CUST-03632,1,Great delivery!,2026-01-16 09:00:18,packaging,True
FD-00000093,ORD-00055856,CUST-12581,2,,2024-07-08 10:00:18,service,True
FD-00000094,ORD-00020773,CUST-08495,3,,2025-03-04 22:00:18,delivery,False
FD-00000095,ORD-00002850,CUST-14802,4,Excellent service,2025-10-14 18:00:18,service,False
FD-00000096,ORD-00092357,CUST-12311,5,,2026-01-30 13:00:18,delivery,False
FD-00000097,ORD-00045369,CUST-17778,5,Could be better,,service,True
FD-00000098,ORD-00001438,CUST-18683,3,,2025-09-28 01:00:18,service,False
FD-00000099,ORD-00050708,CUST-07716,5,Excellent service,2024-07-15 22:00:18,packaging,True
FD-00000100,ORD-00009511,CUST-13598,4,Late delivery,2025-09-24 12:00:18,service,True
FD-00000101,ORD-00034671,CUST-05930,3,,2025-12-04 07:00:18,service,False
FD-00000102,ORD-00067354,CUST-08702,5,,2026-01-15 23:00:18,packaging,True
FD-00000103,ORD-00049285,CUST-03301,4,Could be better,2025-11-14 02:00:18,service,True
FD-00000104,ORD-00037144,CUST-08051,5,Very fast,2024-09-07 12:00:18,service,False
FD-00000105,ORD-00026989,CUST-15954,2,Not happy,2025-11-29 22:00:18,delivery,False
FD-00000106,ORD-00036640,CUST-14287,3,Would order again,2025-11-08 06:00:18,packaging,True
FD-00000107,ORD-00059264,CUST-06304,4,Good,2025-06-11 00:00:18,delivery,False
FD-00000108,ORD-00005719,CUST-03171,2,Excellent service,2024-10-17 08:00:18,delivery,True
FD-00000109,ORD-00019706,CUST-16948,4,,2026-01-28 10:00:18,service,False
FD-00000110,ORD-00088685,CUST-05196,5,Late delivery,2024-12-03 06:00:18,service,False
FD-00000111,ORD-00042179,CUST-03670,3,Late delivery,2026-01-07 07:00:18,service,True
FD-00000112,ORD-00093322,CUST-17388,1,Very fast,2024-11-14 09:00:18,packaging,False
FD-00000113,ORD-00075784,CUST-11657,3,,2026-01-24 04:00:18,delivery,True
FD-00000114,ORD-00025335,CUST-00491,2,Could be better,2026-01-31 20:00:18,service,True
FD-00000115,ORD-00093203,CUST-00012,5,,2025-11-26 10:00:18,service,False
FD-00000116,ORD-00089961,CUST-16694,1,Could be better,2024-09-16 05:00:18,service,False
FD-00000117,ORD-00089488,CUST-12961,4,,2024-08-12 08:00:18,packaging,False
FD-00000118,ORD-00014390,CUST-03878,3,,2025-12-04 20:00:18,delivery,True
FD-00000119,ORD-00048997,CUST-15056,1,Recommended!,2025-10-07 06:00:18,service,False
FD-00000120,ORD-00015971,CUST-01401,5,Recommended!,2025-12-28 00:00:18,packaging,False
FD-00000121,ORD-00028927,CUST-08033,5,Very fast,2025-01-12 09:00:18,service,False
FD-00000122,ORD-00022015,CUST-01206,5,Package damaged,2025-10-10 03:00:18,delivery,True
FD-00000123,ORD-00032645,CUST-01980,5,,2025-08-07 09:00:18,packaging,False
FD-00000124,ORD-00008449,CUST-07921,5,Good,2025-10-10 11:00:18,packaging,False
FD-00000125,ORD-00047735,CUST-10208,5,,2026-02-11 13:00:18,delivery,False
FD-00000126,ORD-00002694,CUST-17713,4,Late delivery,2025-04-25 04:00:18,delivery,True
FD-00000127,ORD-00098756,CUST-05424,2,,2025-01-10 17:00:18,delivery,False
FD-00000128,ORD-00059225,CUST-00283,2,Excellent service,2024-07-07 00:00:18,delivery,True
FD-00000129,ORD-00070576,CUST-14706,2,,2026-02-16 13:00:18,packaging,False
FD-00000130,ORD-00066905,CUST-03828,3,Good,2025-05-06 14:00:18,delivery,False
FD-00000131,ORD-00095331,CUST-18193,5,Could be better,2025-06-11 00:00:18,service,False
FD-00000132,ORD-00053884,CUST-12436,4,On time,2026-02-22 02:00:18,packaging,False
FD-00000133,ORD-00044962,CUST-05671,2,,2025-05-24 15:00:18,service,True
FD-00000134,ORD-00030904,CUST-10895,2,Late delivery,2024-12-27 18:00:18,packaging,False
FD-00000135,ORD-00055239,CUST-16685,2,Not happy,2025-08-12 08:00:18,delivery,True
FD-00000136,ORD-00099577,CUST-11776,1,Package damaged,2024-11-17 03:00:18,packaging,False
FD-00000137,ORD-00047329,CUST-14473,4,Would order again,2025-11-25 22:00:18,packaging,False
FD-00000138,ORD-00002329,CUST-06347,3,Recommended!,2024-12-17 18:00:18,delivery,True
FD-00000139,ORD-00008211,CUST-16377,4,Very fast,2025-07-10 15:00:18,packaging,True
FD-00000140,ORD-00016978,CUST-03625,3,,2025-07-02 00:00:18,packaging,False
FD-00000141,ORD-00028272,CUST-19963,5,Could be better,2024-06-16 15:00:18,packaging,True
FD-00000142,ORD-00009239,CUST-06693,1,,2024-05-14 19:00:18,delivery,True
FD-00000143,ORD-00048274,CUST-15176,3,Could be better,2025-01-22 23:00:18,packaging,False
FD-00000144,ORD-00092542,CUST-16819,4,,2026-02-15 01:00:18,service,False
FD-00000145,ORD-00080314,CUST-07045,3,Could be better,2025-07-19 03:00:18,service,True
FD-00000146,ORD-00007655,CUST-14477,3,Excellent service,2024-11-22 20:00:18,service,False
FD-00000147,ORD-00047412,CUST-15213,3,,2025-04-15 06:00:18,service,True
FD-00000148,ORD-00081667,CUST-00388,1,,2025-07-08 03:00:18,packaging,False
FD-00000149,ORD-00009144,CUST-03043,1,Could be better,2025-12-30 11:00:18,delivery,False
FD-00000150,ORD-00015754,CUST-10488,5,Good,2025-10-25 09:00:18,service,True
FD-00000151,ORD-00073397,CUST-06828,5,,2024-10-11 19:00:18,delivery,False
FD-00000152,ORD-00007394,CUST-19643,4,On time,2026-03-19 17:00:18,delivery,True
FD-00000153,ORD-00073276,CUST-00228,3,Late delivery,2024-12-30 14:00:18,service,True
FD-00000154,ORD-00080314,CUST-05927,2,Package damaged,2025-12-18 09:00:18,delivery,True
FD-00000155,ORD-00030894,CUST-17024,3,,2025-06-15 07:00:18,delivery,True
FD-00000156,ORD-00074371,CUST-16758,4,,2026-01-26 05:00:18,packaging,True
FD-00000157,ORD-00022056,CUST-09716,3,Good,2025-12-26 00:00:18,service,False
FD-00000158,ORD-00024562,CUST-13127,3,Could be better,2025-12-12 09:00:18,packaging,False
FD-00000159,ORD-00070829,CUST-04217,1,Late delivery,2024-08-07 00:00:18,delivery,True
FD-00000160,ORD-00032371,CUST-01650,4,Great delivery!,2025-06-19 07:00:18,delivery,True
FD-00000161,ORD-00080843,CUST-17261,4,Not happy,2025-08-31 14:00:18,packaging,True
FD-00000162,ORD-00023997,CUST-06350,3,,2025-09-29 00:00:18,service,False
FD-00000163,ORD-00089500,CUST-06271,5,,2025-01-21 02:00:18,delivery,False
FD-00000164,ORD-00051590,CUST-05959,1,,2026-02-17 23:00:18,service,False
FD-00000165,ORD-00045193,CUST-09794,4,On time,,packaging,True
FD-00000166,ORD-00078705,CUST-04375,5,Excellent service,2025-01-15 03:00:18,service,True
FD-00000167,ORD-00060052,CUST-02064,2,Very fast,2024-11-20 21:00:18,packaging,False
FD-00000168,ORD-00020389,CUST-12591,5,Would order again,2026-02-15 09:00:18,delivery,True
FD-00000169,ORD-00095682,CUST-02639,3,Not happy,2025-06-19 16:00:18,delivery,False
FD-00000170,ORD-00077582,CUST-04415,5,Great delivery!,2025-07-09 09:00:18,packaging,True
FD-00000171,ORD-00038206,CUST-19051,4,,2025-05-09 00:00:18,service,False
FD-00000172,ORD-00043511,CUST-00014,5,,2025-12-01 22:00:18,delivery,True
FD-00000173,ORD-00009755,CUST-16628,1,,2025-04-06 12:00:18,packaging,True
FD-00000174,ORD-00002999,CUST-04676,3,Not happy,2026-03-22 00:00:18,delivery,False
FD-00000175,ORD-00087385,CUST-10852,4,,2025-01-18 07:00:18,delivery,False
FD-00000176,ORD-00050660,CUST-13759,4,Great delivery!,2025-04-09 22:00:18,delivery,True
FD-00000177,ORD-00074268,CUST-13964,1,Excellent service,2024-10-17 13:00:18,service,False
FD-00000178,ORD-00019520,CUST-14945,4,,2025-04-29 22:00:18,packaging,False
FD-00000179,ORD-00088774,CUST-02270,5,,2024-06-19 16:00:18,service,False
FD-00000180,ORD-00040443,CUST-08449,4,Great delivery!,2025-05-17 02:00:18,packaging,False
FD-00000181,ORD-00028795,CUST-05510,2,,2025-12-09 16:00:18,delivery,True
FD-00000182,ORD-00031862,CUST-01910,1,Package damaged,2024-06-30 20:00:18,packaging,False
FD-00000183,ORD-00027663,CUST-14766,1,Would order again,2025-11-03 18:00:18,service,False
FD-00000184,ORD-00028321,CUST-00664,1,,2026-01-27 09:00:18,service,True
FD-00000185,ORD-00023918,CUST-04578,4,Package damaged,2024-06-18 19:00:18,packaging,True
FD-00000186,ORD-00079439,CUST-01089,1,Package damaged,2026-03-04 03:00:18,packaging,False
FD-00000187,ORD-00012272,CUST-01693,4,Very fast,2026-03-21 20:00:18,service,False
FD-00000188,ORD-00082138,CUST-15156,4,Excellent service,2024-06-29 20:00:18,service,True
FD-00000189,ORD-00059277,CUST-11719,1,Not happy,2024-10-09 10:00:18,packaging,True
FD-00000190,ORD-00063459,CUST-07740,4,Very fast,2025-09-25 07:00:18,delivery,False
FD-00000191,ORD-00074817,CUST-11706,1,Would order again,2024-10-28 00:00:18,service,False
FD-00000192,ORD-00059699,CUST-12878,4,,2025-10-18 12:00:18,service,False
FD-00000193,ORD-00029491,CUST-15994,2,,2024-05-01 22:00:18,packaging,True
FD-00000194,ORD-00007498,CUST-00414,1,Recommended!,2024-06-28 06:00:18,delivery,True
FD-00000195,ORD-00027780,CUST-14794,4,Excellent service,2025-11-22 21:00:18,packaging,False
FD-00000196,ORD-00018473,CUST-13343,2,Would order again,2025-05-25 16:00:18,packaging,True
FD-00000197,ORD-00050084,CUST-19825,2,,2024-12-03 18:00:18,delivery,True
FD-00000198,ORD-00063579,CUST-04868,2,,2025-10-24 01:00:18,service,True
FD-00000199,ORD-00027129,CUST-04642,3,Good,2025-06-29 13:00:18,service,False
FD-00000200,ORD-00045485,CUST-08686,5,,2026-04-13 23:00:18,service,True
FD-00000201,ORD-00070709,CUST-04504,5,,2026-03-13 14:00:18,service,True
FD-00000202,ORD-00044823,CUST-10504,4,Great delivery!,2024-08-29 05:00:18,delivery,True
FD-00000203,ORD-00052244,CUST-02996,4,Could be better,2026-01-22 21:00:18,service,False
FD-00000204,ORD-00092633,CUST-12489,4,Package damaged,2026-01-30 22:00:18,service,True
FD-00000205,ORD-00079677,CUST-07514,2,Good,2024-11-25 10:00:18,packaging,True
FD-00000206,ORD-00043853,CUST-16842,5,Great delivery!,2024-05-30 11:00:18,packaging,False
FD-00000207,ORD-00032810,CUST-10715,5,Very fast,2025-09-10 11:00:18,service,False
FD-00000208,ORD-00032166,CUST-17172,1,,2026-01-11 08:00:18,delivery,False
FD-00000209,ORD-00030474,CUST-11327,5,Late delivery,2025-04-19 19:00:18,packaging,True
FD-00000210,ORD-00010784,CUST-00274,1,Good,2024-11-03 16:00:18,service,False
FD-00000211,ORD-00059158,CUST-15236,1,,2024-11-13 06:00:18,delivery,False
FD-00000212,ORD-00024279,CUST-13148,4,Package damaged,,delivery,False
FD-00000213,ORD-00055217,CUST-14613,1,,2024-09-23 05:00:18,packaging,False
FD-00000214,ORD-00096236,CUST-13196,4,,2024-11-25 15:00:18,packaging,True
FD-00000215,ORD-00011616,CUST-13385,5,,2024-12-05 04:00:18,delivery,False
FD-00000216,ORD-00062244,CUST-02450,4,Excellent service,2025-05-20 14:00:18,packaging,True
FD-00000217,ORD-00096271,CUST-17163,4,,2024-07-13 01:00:18,service,True
FD-00000218,ORD-00021576,CUST-15598,3,,2025-01-08 16:00:18,service,False
FD-00000219,ORD-00044119,CUST-03819,2,Recommended!,2026-02-26 04:00:18,delivery,True
FD-00000220,ORD-00092511,CUST-11740,3,,2024-12-19 12:00:18,delivery,False
FD-00000221,ORD-00054063,CUST-08427,4,Excellent service,2024-10-02 17:00:18,service,False
FD-00000222,ORD-00069971,CUST-16837,4,Not happy,2025-06-06 23:00:18,packaging,False
FD-00000223,ORD-00061719,CUST-13343,3,Late delivery,2024-05-19 05:00:18,delivery,True
FD-00000224,ORD-00074256,CUST-11829,1,On time,2025-09-30 12:00:18,packaging,True
FD-00000225,ORD-00014603,CUST-00419,5,On time,2025-04-22 10:00:18,service,False
FD-00000226,ORD-00088326,CUST-11037,2,,2025-12-19 16:00:18,packaging,False
FD-00000227,ORD-00083606,CUST-09738,1,Would order again,2026-04-08 13:00:18,service,True
FD-00000228,ORD-00022459,CUST-12357,3,Recommended!,2026-02-26 18:00:18,service,True
FD-00000229,ORD-00055460,CUST-19877,5,,2025-03-01 17:00:18,service,True
FD-00000230,ORD-00012248,CUST-10939,4,,2025-03-10 15:00:18,service,False
FD-00000231,ORD-00037359,CUST-06225,5,,2024-08-06 14:00:18,delivery,False
FD-00000232,ORD-00054058,CUST-12890,4,Recommended!,2026-03-10 09:00:18,packaging,False
FD-00000233,ORD-00064161,CUST-06976,4,Very fast,2024-12-02 20:00:18,delivery,True
FD-00000234,ORD-00032422,CUST-09786,3,Great delivery!,2024-12-01 18:00:18,service,True
FD-00000235,ORD-00038809,CUST-07799,2,,2025-05-09 19:00:18,delivery,True
FD-00000236,ORD-00027313,CUST-12266,1,Would order again,2024-05-15 00:00:18,packaging,False
FD-00000237,ORD-00068377,CUST-06382,2,,2025-01-28 11:00:18,delivery,True
FD-00000238,ORD-00002638,CUST-06050,4,,2024-10-20 21:00:18,service,False
FD-00000239,ORD-00083716,CUST-08896,3,,2025-09-14 22:00:18,packaging,False
FD-00000240,ORD-00072364,CUST-07212,1,Excellent service,2025-04-06 10:00:18,delivery,False
FD-00000241,ORD-00072921,CUST-12316,4,,2025-12-09 17:00:18,service,True
FD-00000242,ORD-00020703,CUST-13245,3,,2024-04-25 23:00:18,delivery,True
FD-00000243,ORD-00006791,CUST-19045,2,Recommended!,2024-05-13 22:00:18,delivery,True
FD-00000244,ORD-00059425,CUST-00076,5,Very fast,2024-09-01 16:00:18,delivery,True
FD-00000245,ORD-00045994,CUST-18561,1,Recommended!,2025-01-11 04:00:18,packaging,False
FD-00000246,ORD-00076399,CUST-01298,5,Would order again,2026-02-11 14:00:18,packaging,True
FD-00000247,ORD-00070873,CUST-15378,3,,2025-08-31 06:00:18,packaging,False
FD-00000248,ORD-00090519,CUST-06636,3,Package damaged,2024-10-05 13:00:18,service,True
FD-00000249,ORD-00013627,CUST-18381,2,,2024-05-22 02:00:18,service,True
FD-00000250,ORD-00024632,CUST-02312,3,Recommended!,2025-09-10 03:00:18,delivery,True
FD-00000251,ORD-00056453,CUST-02521,4,,2025-01-04 13:00:18,delivery,True
FD-00000252,ORD-00038568,CUST-17107,3,Excellent service,2026-02-17 03:00:18,service,True
FD-00000253,ORD-00048737,CUST-12830,1,Late delivery,2025-09-19 04:00:18,service,False
FD-00000254,ORD-00072039,CUST-08448,2,Recommended!,2024-12-29 18:00:18,delivery,True
FD-00000255,ORD-00022792,CUST-06774,1,Late delivery,2024-06-01 18:00:18,packaging,True
FD-00000256,ORD-00040240,CUST-10346,5,Late delivery,2025-04-22 04:00:18,packaging,True
FD-00000257,ORD-00040626,CUST-07124,4,Late delivery,2025-09-25 16:00:18,packaging,True
FD-00000258,ORD-00028005,CUST-11580,2,Would order again,2026-01-23 02:00:18,packaging,True
FD-00000259,ORD-00026466,CUST-10940,2,Very fast,2024-05-01 02:00:18,delivery,True
FD-00000260,ORD-00004266,CUST-06414,3,,2024-11-25 06:00:18,delivery,False
FD-00000261,ORD-00058301,CUST-19155,5,Very fast,2025-01-17 08:00:18,packaging,True
FD-00000262,ORD-00032399,CUST-07164,3,Good,2025-02-25 21:00:18,service,True
FD-00000263,ORD-00063057,CUST-03152,1,Could be better,2024-08-18 17:00:18,packaging,False
FD-00000264,ORD-00017939,CUST-01886,3,Not happy,2025-12-31 21:00:18,packaging,False
FD-00000265,ORD-00094680,CUST-03406,5,Package damaged,2024-05-20 09:00:18,service,False
FD-00000266,ORD-00006725,CUST-14030,1,Not happy,2024-08-05 20:00:18,packaging,False
FD-00000267,ORD-00058597,CUST-13485,2,Recommended!,2025-07-10 19:00:18,service,True
FD-00000268,ORD-00028065,CUST-17985,3,,2025-07-06 08:00:18,service,False
FD-00000269,ORD-00095958,CUST-12755,5,Not happy,2025-07-01 14:00:18,delivery,True
FD-00000270,ORD-00085097,CUST-09507,5,Excellent service,2026-02-09 10:00:18,packaging,False
FD-00000271,ORD-00020023,CUST-07679,5,Late delivery,2024-04-19 23:00:18,delivery,False
FD-00000272,ORD-00080932,CUST-11615,4,,2025-01-06 06:00:18,service,True
FD-00000273,ORD-00095197,CUST-17064,4,Very fast,2024-11-22 23:00:18,service,True
FD-00000274,ORD-00088059,CUST-02447,1,,2024-12-25 20:00:18,service,True
FD-00000275,ORD-00000991,CUST-13057,1,Great delivery!,2025-01-03 15:00:18,service,True
FD-00000276,ORD-00037819,CUST-04362,2,Would order again,2025-06-12 22:00:18,delivery,True
FD-00000277,ORD-00062718,CUST-18246,3,,2024-04-22 10:00:18,packaging,True
FD-00000278,ORD-00013714,CUST-10630,3,Good,2025-11-24 23:00:18,packaging,False
FD-00000279,ORD-00022607,CUST-14331,1,,2024-11-19 15:00:18,delivery,False
FD-00000280,ORD-00037024,CUST-03000,1,,2025-02-27 09:00:18,delivery,False
FD-00000281,ORD-00062279,CUST-16935,3,Recommended!,2025-10-18 14:00:18,delivery,False
FD-00000282,ORD-00051988,CUST-13471,2,,2024-07-23 02:00:18,delivery,True
FD-00000283,ORD-00032399,CUST-16268,4,Not happy,2026-04-10 09:00:18,service,False
FD-00000284,ORD-00085082,CUST-09892,1,Good,2024-12-27 12:00:18,delivery,True
FD-00000285,ORD-00027282,CUST-10967,4,Late delivery,2026-04-10 13:00:18,service,True
FD-00000286,ORD-00051041,CUST-19895,2,Package damaged,2025-10-25 00:00:18,packaging,True
FD-00000287,ORD-00073099,CUST-03801,3,Excellent service,2025-11-03 20:00:18,packaging,True
FD-00000288,ORD-00065381,CUST-15200,2,Package damaged,2025-12-18 20:00:18,service,False
FD-00000289,ORD-00065970,CUST-01719,4,Recommended!,2025-02-18 15:00:18,delivery,True
FD-00000290,ORD-00051617,CUST-06345,5,,2025-02-14 12:00:18,service,True
FD-00000291,ORD-00079753,CUST-13304,1,Excellent service,2025-03-22 00:00:18,delivery,False
FD-00000292,ORD-00001669,CUST-11265,2,Could be better,2024-04-15 11:00:18,packaging,True
FD-00000293,ORD-00034821,CUST-04823,3,,2025-06-06 07:00:18,delivery,False
FD-00000294,ORD-00079812,CUST-05054,4,,2025-02-25 04:00:18,delivery,True
FD-00000295,ORD-00061887,CUST-03306,5,Package damaged,2025-06-16 17:00:18,delivery,True
FD-00000296,ORD-00054776,CUST-02242,1,,2024-05-04 02:00:18,packaging,True
FD-00000297,ORD-00010787,CUST-07088,1,Good,2025-09-12 01:00:18,service,False
FD-00000298,ORD-00057592,CUST-04383,5,Would order again,2024-09-19 07:00:18,packaging,False
FD-00000299,ORD-00035641,CUST-17201,1,On time,2025-11-12 02:00:18,packaging,True
FD-00000300,ORD-00009147,CUST-07185,4,,2025-06-19 08:00:18,delivery,False
FD-00000301,ORD-00088819,CUST-06771,2,Would order again,2025-01-15 08:00:18,packaging,True
FD-00000302,ORD-00042934,CUST-09961,3,Very fast,2024-12-04 07:00:18,packaging,False
FD-00000303,ORD-00011776,CUST-04149,1,Recommended!,2024-10-23 21:00:18,service,True
